Instance,Makespan
"JobShopInstance(name=ABZ5_G.txt, num_jobs=10, num_machines=10)",2871
"JobShopInstance(name=ABZ5_Z.txt, num_jobs=10, num_machines=10)",2894
"JobShopInstance(name=ABZ6_G.txt, num_jobs=10, num_machines=10)",2233
"JobShopInstance(name=ABZ6_Z.txt, num_jobs=10, num_machines=10)",2222
"JobShopInstance(name=ABZ7_F.txt, num_jobs=20, num_machines=15)",2390
"JobShopInstance(name=ABZ8_F.txt, num_jobs=20, num_machines=15)",3097
"JobShopInstance(name=ABZ9_F.txt, num_jobs=20, num_machines=15)",2582
"JobShopInstance(name=FT06_F.txt, num_jobs=6, num_machines=6)",98
"JobShopInstance(name=FT06_G.txt, num_jobs=6, num_machines=6)",95
"JobShopInstance(name=FT06_L.txt, num_jobs=6, num_machines=6)",93
"JobShopInstance(name=FT06_T.txt, num_jobs=6, num_machines=6)",93
"JobShopInstance(name=FT10_F.txt, num_jobs=10, num_machines=10)",2280
"JobShopInstance(name=FT10_G.txt, num_jobs=10, num_machines=10)",2297
"JobShopInstance(name=FT10_S.txt, num_jobs=10, num_machines=10)",2274
"JobShopInstance(name=FT20_F.txt, num_jobs=20, num_machines=5)",1651
"JobShopInstance(name=FT20_G.txt, num_jobs=20, num_machines=5)",1666
"JobShopInstance(name=FT20_T.txt, num_jobs=20, num_machines=5)",1642
"JobShopInstance(name=LA01_G.txt, num_jobs=10, num_machines=5)",1102
"JobShopInstance(name=LA01_L.txt, num_jobs=10, num_machines=5)",1082
"JobShopInstance(name=LA02_S.txt, num_jobs=10, num_machines=5)",954
"JobShopInstance(name=LA03_G.txt, num_jobs=10, num_machines=5)",973
"JobShopInstance(name=LA05_G.txt, num_jobs=10, num_machines=5)",755
"JobShopInstance(name=LA06_L.txt, num_jobs=15, num_machines=5)",1124
"JobShopInstance(name=LA07_G.txt, num_jobs=15, num_machines=5)",1461
"JobShopInstance(name=LA09_G.txt, num_jobs=15, num_machines=5)",1382
"JobShopInstance(name=LA11_F.txt, num_jobs=20, num_machines=5)",1617
"JobShopInstance(name=LA12_F.txt, num_jobs=20, num_machines=5)",1466
"JobShopInstance(name=LA12_G.txt, num_jobs=20, num_machines=5)",1478
"JobShopInstance(name=LA13_F.txt, num_jobs=20, num_machines=5)",1627
"JobShopInstance(name=LA13_G.txt, num_jobs=20, num_machines=5)",1663
"JobShopInstance(name=LA14_F.txt, num_jobs=20, num_machines=5)",1519
"JobShopInstance(name=LA14_G.txt, num_jobs=20, num_machines=5)",1584
"JobShopInstance(name=LA19_S.txt, num_jobs=10, num_machines=10)",1894
"JobShopInstance(name=LA20_Z.txt, num_jobs=10, num_machines=10)",2371
"JobShopInstance(name=LA21_F.txt, num_jobs=15, num_machines=10)",2650
"JobShopInstance(name=LA21_S.txt, num_jobs=15, num_machines=10)",2633
"JobShopInstance(name=LA21_Z.txt, num_jobs=15, num_machines=10)",2657
"JobShopInstance(name=LA22_Z.txt, num_jobs=15, num_machines=10)",2753
"JobShopInstance(name=LA24_F.txt, num_jobs=15, num_machines=10)",2701
"JobShopInstance(name=LA24_S.txt, num_jobs=15, num_machines=10)",2552
"JobShopInstance(name=LA25_F.txt, num_jobs=15, num_machines=10)",2367
"JobShopInstance(name=LA25_S.txt, num_jobs=15, num_machines=10)",2364
"JobShopInstance(name=LA27_F.txt, num_jobs=20, num_machines=10)",2924
"JobShopInstance(name=LA27_S.txt, num_jobs=20, num_machines=10)",2905
"JobShopInstance(name=LA29_F.txt, num_jobs=20, num_machines=10)",2859
"JobShopInstance(name=LA29_S.txt, num_jobs=20, num_machines=10)",2620
"JobShopInstance(name=LA36_S.txt, num_jobs=15, num_machines=15)",4389
"JobShopInstance(name=LA37_S.txt, num_jobs=15, num_machines=15)",4254
"JobShopInstance(name=LA38_F.txt, num_jobs=15, num_machines=15)",3760
"JobShopInstance(name=LA38_S.txt, num_jobs=15, num_machines=15)",4326
"JobShopInstance(name=LA39_S.txt, num_jobs=15, num_machines=15)",4203
"JobShopInstance(name=LA40_F.txt, num_jobs=15, num_machines=15)",4276
"JobShopInstance(name=LA40_S.txt, num_jobs=15, num_machines=15)",3929
"JobShopInstance(name=Lei01.txt, num_jobs=15, num_machines=10)",420
"JobShopInstance(name=Lei02.txt, num_jobs=15, num_machines=10)",513
"JobShopInstance(name=LP01.txt, num_jobs=16, num_machines=16)",664
"JobShopInstance(name=ORB01_Z.txt, num_jobs=10, num_machines=10)",2800
"JobShopInstance(name=ORB02_Z.txt, num_jobs=10, num_machines=10)",2278
"JobShopInstance(name=ORB03_Z.txt, num_jobs=10, num_machines=10)",2284
"JobShopInstance(name=ORB04_Z.txt, num_jobs=10, num_machines=10)",3235
"JobShopInstance(name=ORB05_Z.txt, num_jobs=10, num_machines=10)",2582
"JobShopInstance(name=S10.1.txt, num_jobs=10, num_machines=10)",252
"JobShopInstance(name=S10.2.txt, num_jobs=10, num_machines=10)",244
"JobShopInstance(name=S10.3.txt, num_jobs=10, num_machines=10)",259
"JobShopInstance(name=S10.4.txt, num_jobs=10, num_machines=10)",90
"JobShopInstance(name=S6.1.txt, num_jobs=6, num_machines=6)",126
"JobShopInstance(name=S6.2.txt, num_jobs=6, num_machines=6)",138
"JobShopInstance(name=S6.3.txt, num_jobs=6, num_machines=6)",113
"JobShopInstance(name=S6.4.txt, num_jobs=6, num_machines=6)",48
"JobShopInstance(name=Ta01_F.txt, num_jobs=15, num_machines=15)",4244
"JobShopInstance(name=Ta02_F.txt, num_jobs=15, num_machines=15)",5649
"JobShopInstance(name=Ta03_F.txt, num_jobs=15, num_machines=15)",3837
"JobShopInstance(name=Ta04_F.txt, num_jobs=15, num_machines=15)",4503
"JobShopInstance(name=Ta05_F.txt, num_jobs=15, num_machines=15)",4416
"JobShopInstance(name=Ta06_F.txt, num_jobs=15, num_machines=15)",4863
"JobShopInstance(name=Ta07_F.txt, num_jobs=15, num_machines=15)",4476
"JobShopInstance(name=Ta08_F.txt, num_jobs=15, num_machines=15)",4977
"JobShopInstance(name=Ta09_F.txt, num_jobs=15, num_machines=15)",5094
"JobShopInstance(name=Ta10_F.txt, num_jobs=15, num_machines=15)",4576
"JobShopInstance(name=Ta11_F.txt, num_jobs=20, num_machines=15)",5215
"JobShopInstance(name=Ta12_F.txt, num_jobs=20, num_machines=15)",5904
"JobShopInstance(name=Ta13_F.txt, num_jobs=20, num_machines=15)",6816
"JobShopInstance(name=Ta14_F.txt, num_jobs=20, num_machines=15)",4110
"JobShopInstance(name=Ta15_F.txt, num_jobs=20, num_machines=15)",4532
"JobShopInstance(name=Ta16_F.txt, num_jobs=20, num_machines=15)",5052
"JobShopInstance(name=Ta17_F.txt, num_jobs=20, num_machines=15)",5527
"JobShopInstance(name=Ta18_F.txt, num_jobs=20, num_machines=15)",5441
"JobShopInstance(name=Ta19_F.txt, num_jobs=20, num_machines=15)",4836
"JobShopInstance(name=Ta20_F.txt, num_jobs=20, num_machines=15)",5769
"JobShopInstance(name=Ta21_F.txt, num_jobs=20, num_machines=20)",6891
"JobShopInstance(name=Ta22_F.txt, num_jobs=20, num_machines=20)",6590
"JobShopInstance(name=Ta23_F.txt, num_jobs=20, num_machines=20)",9230
"JobShopInstance(name=Ta24_F.txt, num_jobs=20, num_machines=20)",8640
"JobShopInstance(name=Ta25_F.txt, num_jobs=20, num_machines=20)",8012
"JobShopInstance(name=Ta26_F.txt, num_jobs=20, num_machines=20)",8345
"JobShopInstance(name=Ta27_F.txt, num_jobs=20, num_machines=20)",9892
"JobShopInstance(name=Ta28_F.txt, num_jobs=20, num_machines=20)",8178
"JobShopInstance(name=Ta29_F.txt, num_jobs=20, num_machines=20)",9073
"JobShopInstance(name=Ta30_F.txt, num_jobs=20, num_machines=20)",8098
"JobShopInstance(name=Ta31_F.txt, num_jobs=30, num_machines=15)",7797
"JobShopInstance(name=Ta32_F.txt, num_jobs=30, num_machines=15)",7485
"JobShopInstance(name=Ta33_F.txt, num_jobs=30, num_machines=15)",6548
"JobShopInstance(name=Ta34_F.txt, num_jobs=30, num_machines=15)",7683
"JobShopInstance(name=Ta35_F.txt, num_jobs=30, num_machines=15)",6968
"JobShopInstance(name=Ta36_F.txt, num_jobs=30, num_machines=15)",6824
"JobShopInstance(name=Ta37_F.txt, num_jobs=30, num_machines=15)",8229
"JobShopInstance(name=Ta38_F.txt, num_jobs=30, num_machines=15)",5745
"JobShopInstance(name=Ta39_F.txt, num_jobs=30, num_machines=15)",7235
"JobShopInstance(name=Ta40_F.txt, num_jobs=30, num_machines=15)",6709
"JobShopInstance(name=Ta41_F.txt, num_jobs=30, num_machines=20)",13396
"JobShopInstance(name=Ta42_F.txt, num_jobs=30, num_machines=20)",12955
"JobShopInstance(name=Ta43_F.txt, num_jobs=30, num_machines=20)",12425
"JobShopInstance(name=Ta44_F.txt, num_jobs=30, num_machines=20)",9701
"JobShopInstance(name=Ta45_F.txt, num_jobs=30, num_machines=20)",11452
"JobShopInstance(name=Ta46_F.txt, num_jobs=30, num_machines=20)",10810
"JobShopInstance(name=Ta47_F.txt, num_jobs=30, num_machines=20)",9571
"JobShopInstance(name=Ta48_F.txt, num_jobs=30, num_machines=20)",10674
"JobShopInstance(name=Ta49_F.txt, num_jobs=30, num_machines=20)",9243
"JobShopInstance(name=Ta50_F.txt, num_jobs=30, num_machines=20)",10209
"JobShopInstance(name=Ta51_F.txt, num_jobs=50, num_machines=15)",10238
"JobShopInstance(name=Ta52_F.txt, num_jobs=50, num_machines=15)",8382
"JobShopInstance(name=Ta53_F.txt, num_jobs=50, num_machines=15)",10702
"JobShopInstance(name=Ta54_F.txt, num_jobs=50, num_machines=15)",9872
"JobShopInstance(name=Ta55_F.txt, num_jobs=50, num_machines=15)",9070
"JobShopInstance(name=Ta56_F.txt, num_jobs=50, num_machines=15)",10667
"JobShopInstance(name=Ta57_F.txt, num_jobs=50, num_machines=15)",12151
"JobShopInstance(name=Ta58_F.txt, num_jobs=50, num_machines=15)",8492
"JobShopInstance(name=Ta59_F.txt, num_jobs=50, num_machines=15)",10404
"JobShopInstance(name=Ta60_F.txt, num_jobs=50, num_machines=15)",9277
"JobShopInstance(name=Ta61_F.txt, num_jobs=50, num_machines=20)",15582
"JobShopInstance(name=Ta62_F.txt, num_jobs=50, num_machines=20)",17990
"JobShopInstance(name=Ta63_F.txt, num_jobs=50, num_machines=20)",14495
"JobShopInstance(name=Ta64_F.txt, num_jobs=50, num_machines=20)",14469
"JobShopInstance(name=Ta65_F.txt, num_jobs=50, num_machines=20)",13911
"JobShopInstance(name=Ta66_F.txt, num_jobs=50, num_machines=20)",14226
"JobShopInstance(name=Ta67_F.txt, num_jobs=50, num_machines=20)",16805
"JobShopInstance(name=Ta68_F.txt, num_jobs=50, num_machines=20)",16169
"JobShopInstance(name=Ta69_F.txt, num_jobs=50, num_machines=20)",15133
"JobShopInstance(name=Ta70_F.txt, num_jobs=50, num_machines=20)",13635
"JobShopInstance(name=Ta71_F.txt, num_jobs=100, num_machines=20)",28368
"JobShopInstance(name=Ta72_F.txt, num_jobs=100, num_machines=20)",25372
"JobShopInstance(name=Ta73_F.txt, num_jobs=100, num_machines=20)",27414
"JobShopInstance(name=Ta74_F.txt, num_jobs=100, num_machines=20)",26609
"JobShopInstance(name=Ta75_F.txt, num_jobs=100, num_machines=20)",27634
"JobShopInstance(name=Ta76_F.txt, num_jobs=100, num_machines=20)",21675
"JobShopInstance(name=Ta77_F.txt, num_jobs=100, num_machines=20)",26910
"JobShopInstance(name=Ta78_F.txt, num_jobs=100, num_machines=20)",27434
"JobShopInstance(name=Ta79_F.txt, num_jobs=100, num_machines=20)",27123
"JobShopInstance(name=Ta80_F.txt, num_jobs=100, num_machines=20)",25422
