Instance,Makespan
"JobShopInstance(name=ABZ5_G.txt, num_jobs=10, num_machines=10)",1443
"JobShopInstance(name=ABZ5_Z.txt, num_jobs=10, num_machines=10)",1445
"JobShopInstance(name=ABZ6_G.txt, num_jobs=10, num_machines=10)",1098
"JobShopInstance(name=ABZ6_Z.txt, num_jobs=10, num_machines=10)",1094
"JobShopInstance(name=ABZ7_F.txt, num_jobs=20, num_machines=15)",808
"JobShopInstance(name=ABZ8_F.txt, num_jobs=20, num_machines=15)",852
"JobShopInstance(name=ABZ9_F.txt, num_jobs=20, num_machines=15)",996
"JobShopInstance(name=FT06_F.txt, num_jobs=6, num_machines=6)",60
"JobShopInstance(name=FT06_G.txt, num_jobs=6, num_machines=6)",60
"JobShopInstance(name=FT06_L.txt, num_jobs=6, num_machines=6)",58
"JobShopInstance(name=FT06_T.txt, num_jobs=6, num_machines=6)",57
"JobShopInstance(name=FT10_F.txt, num_jobs=10, num_machines=10)",1219
"JobShopInstance(name=FT10_G.txt, num_jobs=10, num_machines=10)",1231
"JobShopInstance(name=FT10_S.txt, num_jobs=10, num_machines=10)",1218
"JobShopInstance(name=FT20_F.txt, num_jobs=20, num_machines=5)",1611
"JobShopInstance(name=FT20_G.txt, num_jobs=20, num_machines=5)",1663
"JobShopInstance(name=FT20_T.txt, num_jobs=20, num_machines=5)",1598
"JobShopInstance(name=LA01_G.txt, num_jobs=10, num_machines=5)",849
"JobShopInstance(name=LA01_L.txt, num_jobs=10, num_machines=5)",845
"JobShopInstance(name=LA02_S.txt, num_jobs=10, num_machines=5)",904
"JobShopInstance(name=LA03_G.txt, num_jobs=10, num_machines=5)",760
"JobShopInstance(name=LA05_G.txt, num_jobs=10, num_machines=5)",615
"JobShopInstance(name=LA06_L.txt, num_jobs=15, num_machines=5)",921
"JobShopInstance(name=LA07_G.txt, num_jobs=15, num_machines=5)",1016
"JobShopInstance(name=LA09_G.txt, num_jobs=15, num_machines=5)",1005
"JobShopInstance(name=LA11_F.txt, num_jobs=20, num_machines=5)",1297
"JobShopInstance(name=LA12_F.txt, num_jobs=20, num_machines=5)",1127
"JobShopInstance(name=LA12_G.txt, num_jobs=20, num_machines=5)",1145
"JobShopInstance(name=LA13_F.txt, num_jobs=20, num_machines=5)",1154
"JobShopInstance(name=LA13_G.txt, num_jobs=20, num_machines=5)",1165
"JobShopInstance(name=LA14_F.txt, num_jobs=20, num_machines=5)",1292
"JobShopInstance(name=LA14_G.txt, num_jobs=20, num_machines=5)",1319
"JobShopInstance(name=LA19_S.txt, num_jobs=10, num_machines=10)",1057
"JobShopInstance(name=LA20_Z.txt, num_jobs=10, num_machines=10)",1211
"JobShopInstance(name=LA21_F.txt, num_jobs=15, num_machines=10)",1336
"JobShopInstance(name=LA21_S.txt, num_jobs=15, num_machines=10)",1331
"JobShopInstance(name=LA21_Z.txt, num_jobs=15, num_machines=10)",1346
"JobShopInstance(name=LA22_Z.txt, num_jobs=15, num_machines=10)",1252
"JobShopInstance(name=LA24_F.txt, num_jobs=15, num_machines=10)",1172
"JobShopInstance(name=LA24_S.txt, num_jobs=15, num_machines=10)",1178
"JobShopInstance(name=LA25_F.txt, num_jobs=15, num_machines=10)",1239
"JobShopInstance(name=LA25_S.txt, num_jobs=15, num_machines=10)",1245
"JobShopInstance(name=LA27_F.txt, num_jobs=20, num_machines=10)",1670
"JobShopInstance(name=LA27_S.txt, num_jobs=20, num_machines=10)",1661
"JobShopInstance(name=LA29_F.txt, num_jobs=20, num_machines=10)",1528
"JobShopInstance(name=LA29_S.txt, num_jobs=20, num_machines=10)",1533
"JobShopInstance(name=LA36_S.txt, num_jobs=15, num_machines=15)",1589
"JobShopInstance(name=LA37_S.txt, num_jobs=15, num_machines=15)",1846
"JobShopInstance(name=LA38_F.txt, num_jobs=15, num_machines=15)",1655
"JobShopInstance(name=LA38_S.txt, num_jobs=15, num_machines=15)",1662
"JobShopInstance(name=LA39_S.txt, num_jobs=15, num_machines=15)",1650
"JobShopInstance(name=LA40_F.txt, num_jobs=15, num_machines=15)",1539
"JobShopInstance(name=LA40_S.txt, num_jobs=15, num_machines=15)",1558
"JobShopInstance(name=Lei01.txt, num_jobs=15, num_machines=10)",247
"JobShopInstance(name=Lei02.txt, num_jobs=15, num_machines=10)",208
"JobShopInstance(name=LP01.txt, num_jobs=16, num_machines=16)",227
"JobShopInstance(name=ORB01_Z.txt, num_jobs=10, num_machines=10)",1437
"JobShopInstance(name=ORB02_Z.txt, num_jobs=10, num_machines=10)",1060
"JobShopInstance(name=ORB03_Z.txt, num_jobs=10, num_machines=10)",1521
"JobShopInstance(name=ORB04_Z.txt, num_jobs=10, num_machines=10)",1318
"JobShopInstance(name=ORB05_Z.txt, num_jobs=10, num_machines=10)",1209
"JobShopInstance(name=S10.1.txt, num_jobs=10, num_machines=10)",153
"JobShopInstance(name=S10.2.txt, num_jobs=10, num_machines=10)",147
"JobShopInstance(name=S10.3.txt, num_jobs=10, num_machines=10)",123
"JobShopInstance(name=S10.4.txt, num_jobs=10, num_machines=10)",51
"JobShopInstance(name=S6.1.txt, num_jobs=6, num_machines=6)",78
"JobShopInstance(name=S6.2.txt, num_jobs=6, num_machines=6)",85
"JobShopInstance(name=S6.3.txt, num_jobs=6, num_machines=6)",68
"JobShopInstance(name=S6.4.txt, num_jobs=6, num_machines=6)",41
"JobShopInstance(name=Ta01_F.txt, num_jobs=15, num_machines=15)",1559
"JobShopInstance(name=Ta02_F.txt, num_jobs=15, num_machines=15)",1513
"JobShopInstance(name=Ta03_F.txt, num_jobs=15, num_machines=15)",1550
"JobShopInstance(name=Ta04_F.txt, num_jobs=15, num_machines=15)",1638
"JobShopInstance(name=Ta05_F.txt, num_jobs=15, num_machines=15)",1584
"JobShopInstance(name=Ta06_F.txt, num_jobs=15, num_machines=15)",1594
"JobShopInstance(name=Ta07_F.txt, num_jobs=15, num_machines=15)",1490
"JobShopInstance(name=Ta08_F.txt, num_jobs=15, num_machines=15)",1571
"JobShopInstance(name=Ta09_F.txt, num_jobs=15, num_machines=15)",1593
"JobShopInstance(name=Ta10_F.txt, num_jobs=15, num_machines=15)",1591
"JobShopInstance(name=Ta11_F.txt, num_jobs=20, num_machines=15)",1834
"JobShopInstance(name=Ta12_F.txt, num_jobs=20, num_machines=15)",1976
"JobShopInstance(name=Ta13_F.txt, num_jobs=20, num_machines=15)",1743
"JobShopInstance(name=Ta14_F.txt, num_jobs=20, num_machines=15)",1855
"JobShopInstance(name=Ta15_F.txt, num_jobs=20, num_machines=15)",1767
"JobShopInstance(name=Ta16_F.txt, num_jobs=20, num_machines=15)",1738
"JobShopInstance(name=Ta17_F.txt, num_jobs=20, num_machines=15)",2019
"JobShopInstance(name=Ta18_F.txt, num_jobs=20, num_machines=15)",1881
"JobShopInstance(name=Ta19_F.txt, num_jobs=20, num_machines=15)",1692
"JobShopInstance(name=Ta20_F.txt, num_jobs=20, num_machines=15)",1838
"JobShopInstance(name=Ta21_F.txt, num_jobs=20, num_machines=20)",2144
"JobShopInstance(name=Ta22_F.txt, num_jobs=20, num_machines=20)",2153
"JobShopInstance(name=Ta23_F.txt, num_jobs=20, num_machines=20)",1981
"JobShopInstance(name=Ta24_F.txt, num_jobs=20, num_machines=20)",2137
"JobShopInstance(name=Ta25_F.txt, num_jobs=20, num_machines=20)",2111
