Instance,Makespan
"JobShopInstance(name=ABZ5_G.txt, num_jobs=10, num_machines=10)",1448.5
"JobShopInstance(name=ABZ5_Z.txt, num_jobs=10, num_machines=10)",1449.75
"JobShopInstance(name=ABZ6_G.txt, num_jobs=10, num_machines=10)",1101.75
"JobShopInstance(name=ABZ6_Z.txt, num_jobs=10, num_machines=10)",1099.5
"JobShopInstance(name=ABZ7_F.txt, num_jobs=20, num_machines=15)",808.0
"JobShopInstance(name=ABZ8_F.txt, num_jobs=20, num_machines=15)",852.0
"JobShopInstance(name=ABZ9_F.txt, num_jobs=20, num_machines=15)",996.0
"JobShopInstance(name=FT06_F.txt, num_jobs=6, num_machines=6)",60.0
"JobShopInstance(name=FT06_G.txt, num_jobs=6, num_machines=6)",61.0
"JobShopInstance(name=FT06_L.txt, num_jobs=6, num_machines=6)",60.75
"JobShopInstance(name=FT06_T.txt, num_jobs=6, num_machines=6)",60.0
"JobShopInstance(name=FT10_F.txt, num_jobs=10, num_machines=10)",1219.0
"JobShopInstance(name=FT10_G.txt, num_jobs=10, num_machines=10)",1237.5
"JobShopInstance(name=FT10_S.txt, num_jobs=10, num_machines=10)",1226.75
"JobShopInstance(name=FT20_F.txt, num_jobs=20, num_machines=5)",1611.0
"JobShopInstance(name=FT20_G.txt, num_jobs=20, num_machines=5)",1628.25
"JobShopInstance(name=FT20_T.txt, num_jobs=20, num_machines=5)",1608.0
"JobShopInstance(name=LA01_G.txt, num_jobs=10, num_machines=5)",853.25
"JobShopInstance(name=LA01_L.txt, num_jobs=10, num_machines=5)",849.0
"JobShopInstance(name=LA02_S.txt, num_jobs=10, num_machines=5)",907.25
"JobShopInstance(name=LA03_G.txt, num_jobs=10, num_machines=5)",765.75
"JobShopInstance(name=LA05_G.txt, num_jobs=10, num_machines=5)",618.0
"JobShopInstance(name=LA06_L.txt, num_jobs=15, num_machines=5)",926.25
"JobShopInstance(name=LA07_G.txt, num_jobs=15, num_machines=5)",1023.0
"JobShopInstance(name=LA09_G.txt, num_jobs=15, num_machines=5)",1010.75
