Instance,Makespan
"JobShopInstance(name=ABZ5_G.txt, num_jobs=10, num_machines=10)",3042.0
"JobShopInstance(name=ABZ5_Z.txt, num_jobs=10, num_machines=10)",3044.25
"JobShopInstance(name=ABZ6_G.txt, num_jobs=10, num_machines=10)",1971.0
"JobShopInstance(name=ABZ6_Z.txt, num_jobs=10, num_machines=10)",1961.5
"JobShopInstance(name=ABZ7_F.txt, num_jobs=20, num_machines=15)",2382.0
"JobShopInstance(name=ABZ8_F.txt, num_jobs=20, num_machines=15)",2899.0
"JobShopInstance(name=ABZ9_F.txt, num_jobs=20, num_machines=15)",2230.0
"JobShopInstance(name=FT06_F.txt, num_jobs=6, num_machines=6)",130.0
"JobShopInstance(name=FT06_G.txt, num_jobs=6, num_machines=6)",135.75
"JobShopInstance(name=FT06_L.txt, num_jobs=6, num_machines=6)",129.75
"JobShopInstance(name=FT06_T.txt, num_jobs=6, num_machines=6)",134.0
"JobShopInstance(name=FT10_F.txt, num_jobs=10, num_machines=10)",2696.0
"JobShopInstance(name=FT10_G.txt, num_jobs=10, num_machines=10)",2723.75
"JobShopInstance(name=FT10_S.txt, num_jobs=10, num_machines=10)",2703.0
"JobShopInstance(name=FT20_F.txt, num_jobs=20, num_machines=5)",2144.0
"JobShopInstance(name=FT20_G.txt, num_jobs=20, num_machines=5)",2125.25
"JobShopInstance(name=FT20_T.txt, num_jobs=20, num_machines=5)",1953.25
"JobShopInstance(name=LA01_G.txt, num_jobs=10, num_machines=5)",1170.75
"JobShopInstance(name=LA01_L.txt, num_jobs=10, num_machines=5)",1145.5
"JobShopInstance(name=LA02_S.txt, num_jobs=10, num_machines=5)",1275.5
"JobShopInstance(name=LA03_G.txt, num_jobs=10, num_machines=5)",1196.0
"JobShopInstance(name=LA05_G.txt, num_jobs=10, num_machines=5)",974.0
"JobShopInstance(name=LA06_L.txt, num_jobs=15, num_machines=5)",1370.75
"JobShopInstance(name=LA07_G.txt, num_jobs=15, num_machines=5)",1693.0
"JobShopInstance(name=LA09_G.txt, num_jobs=15, num_machines=5)",1438.75
"JobShopInstance(name=LA11_F.txt, num_jobs=20, num_machines=5)",1713.0
"JobShopInstance(name=LA12_F.txt, num_jobs=20, num_machines=5)",1897.0
"JobShopInstance(name=LA12_G.txt, num_jobs=20, num_machines=5)",1919.75
"JobShopInstance(name=LA13_F.txt, num_jobs=20, num_machines=5)",1592.0
"JobShopInstance(name=LA13_G.txt, num_jobs=20, num_machines=5)",1626.75
"JobShopInstance(name=LA14_F.txt, num_jobs=20, num_machines=5)",1752.0
"JobShopInstance(name=LA14_G.txt, num_jobs=20, num_machines=5)",1783.5
"JobShopInstance(name=LA19_S.txt, num_jobs=10, num_machines=10)",1732.0
"JobShopInstance(name=LA20_Z.txt, num_jobs=10, num_machines=10)",2020.25
"JobShopInstance(name=LA21_F.txt, num_jobs=15, num_machines=10)",2513.0
"JobShopInstance(name=LA21_S.txt, num_jobs=15, num_machines=10)",2514.0
"JobShopInstance(name=LA21_Z.txt, num_jobs=15, num_machines=10)",2537.0
"JobShopInstance(name=LA22_Z.txt, num_jobs=15, num_machines=10)",2382.5
"JobShopInstance(name=LA24_F.txt, num_jobs=15, num_machines=10)",2927.0
"JobShopInstance(name=LA24_S.txt, num_jobs=15, num_machines=10)",2938.75
"JobShopInstance(name=LA25_F.txt, num_jobs=15, num_machines=10)",2568.0
"JobShopInstance(name=LA25_S.txt, num_jobs=15, num_machines=10)",2583.75
"JobShopInstance(name=LA27_F.txt, num_jobs=20, num_machines=10)",3588.0
"JobShopInstance(name=LA27_S.txt, num_jobs=20, num_machines=10)",3587.75
"JobShopInstance(name=LA29_F.txt, num_jobs=20, num_machines=10)",3918.0
"JobShopInstance(name=LA29_S.txt, num_jobs=20, num_machines=10)",3922.75
"JobShopInstance(name=LA36_S.txt, num_jobs=15, num_machines=15)",4658.0
"JobShopInstance(name=LA37_S.txt, num_jobs=15, num_machines=15)",4799.0
"JobShopInstance(name=LA38_F.txt, num_jobs=15, num_machines=15)",3802.0
"JobShopInstance(name=LA38_S.txt, num_jobs=15, num_machines=15)",3808.5
"JobShopInstance(name=LA39_S.txt, num_jobs=15, num_machines=15)",5376.5
"JobShopInstance(name=LA40_F.txt, num_jobs=15, num_machines=15)",3847.0
"JobShopInstance(name=LA40_S.txt, num_jobs=15, num_machines=15)",3838.75
"JobShopInstance(name=Lei01.txt, num_jobs=15, num_machines=10)",527.5
"JobShopInstance(name=Lei02.txt, num_jobs=15, num_machines=10)",419.25
"JobShopInstance(name=LP01.txt, num_jobs=16, num_machines=16)",719.25
"JobShopInstance(name=ORB01_Z.txt, num_jobs=10, num_machines=10)",2835.0
"JobShopInstance(name=ORB02_Z.txt, num_jobs=10, num_machines=10)",2486.25
"JobShopInstance(name=ORB03_Z.txt, num_jobs=10, num_machines=10)",1853.25
"JobShopInstance(name=ORB04_Z.txt, num_jobs=10, num_machines=10)",3728.0
"JobShopInstance(name=ORB05_Z.txt, num_jobs=10, num_machines=10)",2877.0
"JobShopInstance(name=S10.1.txt, num_jobs=10, num_machines=10)",295.0
"JobShopInstance(name=S10.2.txt, num_jobs=10, num_machines=10)",229.5
"JobShopInstance(name=S10.3.txt, num_jobs=10, num_machines=10)",258.5
"JobShopInstance(name=S10.4.txt, num_jobs=10, num_machines=10)",110.5
"JobShopInstance(name=S6.1.txt, num_jobs=6, num_machines=6)",145.75
"JobShopInstance(name=S6.2.txt, num_jobs=6, num_machines=6)",118.75
"JobShopInstance(name=S6.3.txt, num_jobs=6, num_machines=6)",115.75
"JobShopInstance(name=S6.4.txt, num_jobs=6, num_machines=6)",71.75
"JobShopInstance(name=Ta01_F.txt, num_jobs=15, num_machines=15)",4264.0
"JobShopInstance(name=Ta02_F.txt, num_jobs=15, num_machines=15)",4698.0
"JobShopInstance(name=Ta03_F.txt, num_jobs=15, num_machines=15)",4436.0
"JobShopInstance(name=Ta04_F.txt, num_jobs=15, num_machines=15)",4148.0
"JobShopInstance(name=Ta05_F.txt, num_jobs=15, num_machines=15)",4204.0
"JobShopInstance(name=Ta06_F.txt, num_jobs=15, num_machines=15)",4667.0
"JobShopInstance(name=Ta07_F.txt, num_jobs=15, num_machines=15)",4707.0
"JobShopInstance(name=Ta08_F.txt, num_jobs=15, num_machines=15)",4288.0
"JobShopInstance(name=Ta09_F.txt, num_jobs=15, num_machines=15)",5003.0
"JobShopInstance(name=Ta10_F.txt, num_jobs=15, num_machines=15)",4846.0
"JobShopInstance(name=Ta11_F.txt, num_jobs=20, num_machines=15)",4520.0
"JobShopInstance(name=Ta12_F.txt, num_jobs=20, num_machines=15)",5308.0
"JobShopInstance(name=Ta13_F.txt, num_jobs=20, num_machines=15)",5646.0
"JobShopInstance(name=Ta14_F.txt, num_jobs=20, num_machines=15)",5038.0
"JobShopInstance(name=Ta15_F.txt, num_jobs=20, num_machines=15)",5679.0
"JobShopInstance(name=Ta16_F.txt, num_jobs=20, num_machines=15)",5798.0
"JobShopInstance(name=Ta17_F.txt, num_jobs=20, num_machines=15)",5785.0
