Instance,Makespan
"JobShopInstance(name=ABZ5_G.txt, num_jobs=10, num_machines=10)",2841.25
"JobShopInstance(name=ABZ5_Z.txt, num_jobs=10, num_machines=10)",2845.0
"JobShopInstance(name=ABZ6_G.txt, num_jobs=10, num_machines=10)",1560.75
"JobShopInstance(name=ABZ6_Z.txt, num_jobs=10, num_machines=10)",1996.75
"JobShopInstance(name=ABZ7_F.txt, num_jobs=20, num_machines=15)",2613.0
"JobShopInstance(name=ABZ8_F.txt, num_jobs=20, num_machines=15)",2353.0
"JobShopInstance(name=ABZ9_F.txt, num_jobs=20, num_machines=15)",2901.0
"JobShopInstance(name=FT06_F.txt, num_jobs=6, num_machines=6)",91.0
"JobShopInstance(name=FT06_G.txt, num_jobs=6, num_machines=6)",85.5
"JobShopInstance(name=FT06_L.txt, num_jobs=6, num_machines=6)",77.25
"JobShopInstance(name=FT06_T.txt, num_jobs=6, num_machines=6)",77.5
"JobShopInstance(name=FT10_F.txt, num_jobs=10, num_machines=10)",2830.0
"JobShopInstance(name=FT10_G.txt, num_jobs=10, num_machines=10)",2420.5
"JobShopInstance(name=FT10_S.txt, num_jobs=10, num_machines=10)",2800.0
"JobShopInstance(name=FT20_F.txt, num_jobs=20, num_machines=5)",1586.0
"JobShopInstance(name=FT20_G.txt, num_jobs=20, num_machines=5)",1516.5
"JobShopInstance(name=FT20_T.txt, num_jobs=20, num_machines=5)",1557.0
"JobShopInstance(name=LA01_G.txt, num_jobs=10, num_machines=5)",984.5
"JobShopInstance(name=LA01_L.txt, num_jobs=10, num_machines=5)",861.75
"JobShopInstance(name=LA02_S.txt, num_jobs=10, num_machines=5)",1284.5
"JobShopInstance(name=LA03_G.txt, num_jobs=10, num_machines=5)",797.25
"JobShopInstance(name=LA05_G.txt, num_jobs=10, num_machines=5)",1067.25
"JobShopInstance(name=LA06_L.txt, num_jobs=15, num_machines=5)",1251.5
"JobShopInstance(name=LA07_G.txt, num_jobs=15, num_machines=5)",1192.25
"JobShopInstance(name=LA09_G.txt, num_jobs=15, num_machines=5)",1245.75
"JobShopInstance(name=LA11_F.txt, num_jobs=20, num_machines=5)",1635.0
"JobShopInstance(name=LA12_F.txt, num_jobs=20, num_machines=5)",1310.0
"JobShopInstance(name=LA12_G.txt, num_jobs=20, num_machines=5)",1413.75
"JobShopInstance(name=LA13_F.txt, num_jobs=20, num_machines=5)",1343.0
"JobShopInstance(name=LA13_G.txt, num_jobs=20, num_machines=5)",1391.25
"JobShopInstance(name=LA14_F.txt, num_jobs=20, num_machines=5)",1756.0
"JobShopInstance(name=LA14_G.txt, num_jobs=20, num_machines=5)",1837.75
"JobShopInstance(name=LA19_S.txt, num_jobs=10, num_machines=10)",1741.0
"JobShopInstance(name=LA20_Z.txt, num_jobs=10, num_machines=10)",2473.75
"JobShopInstance(name=LA21_F.txt, num_jobs=15, num_machines=10)",3034.0
"JobShopInstance(name=LA21_S.txt, num_jobs=15, num_machines=10)",3200.5
"JobShopInstance(name=LA21_Z.txt, num_jobs=15, num_machines=10)",3321.0
"JobShopInstance(name=LA22_Z.txt, num_jobs=15, num_machines=10)",2647.0
"JobShopInstance(name=LA24_F.txt, num_jobs=15, num_machines=10)",2471.0
"JobShopInstance(name=LA24_S.txt, num_jobs=15, num_machines=10)",2417.25
"JobShopInstance(name=LA25_F.txt, num_jobs=15, num_machines=10)",2442.0
"JobShopInstance(name=LA25_S.txt, num_jobs=15, num_machines=10)",2640.75
