Instance,spt_makespan,spt_solve_time,mwkr_makespan,mwkr_solve_time,mopr_makespan,mopr_solve_time,lpt_makespan,lpt_solve_time,lifo_makespan,lifo_solve_time,lor_makespan,lor_solve_time
0,106.0,0.00044035911560058594,119.25,0.0006744861602783203,116.0,0.0008347034454345703,119.75,0.0004706382751464844,124.5,0.001016855239868164,116.0,0.0011935234069824219
1,117.25,0.0003571510314941406,119.25,0.0006663799285888672,114.75,0.0007812976837158203,132.0,0.0005846023559570312,166.5,0.0009672641754150391,114.75,0.0010340213775634766
2,102.75,0.0003371238708496094,97.25,0.0005624294281005859,101.75,0.0007688999176025391,105.25,0.0005774497985839844,130.5,0.04409313201904297,101.75,0.000919342041015625
3,144.75,0.00033354759216308594,125.0,0.002779722213745117,128.5,0.0007815361022949219,137.25,0.0005946159362792969,167.5,0.0011129379272460938,128.5,0.0006229877471923828
4,116.25,0.0003292560577392578,120.25,0.00048804283142089844,109.25,0.0007681846618652344,113.0,0.0005764961242675781,135.5,0.0009543895721435547,109.25,0.0006711483001708984
5,132.0,0.00033855438232421875,111.25,0.0004801750183105469,110.5,0.0009837150573730469,128.25,0.0005741119384765625,154.0,0.0008864402770996094,110.5,0.0007116794586181641
6,102.75,0.000324249267578125,97.5,0.00047850608825683594,107.0,0.0007736682891845703,108.0,0.0005714893341064453,127.5,0.000885009765625,107.0,0.0006999969482421875
7,126.75,0.0003256797790527344,117.5,0.00047850608825683594,117.0,0.0007677078247070312,122.5,0.0005679130554199219,148.0,0.0008783340454101562,117.0,0.0006799697875976562
8,168.5,0.0003235340118408203,133.5,0.00047850608825683594,133.5,0.0007750988006591797,140.0,0.0005648136138916016,171.0,0.0008790493011474609,133.5,0.0007216930389404297
9,149.5,0.00032210350036621094,134.25,0.000476837158203125,132.75,0.0007741451263427734,146.75,0.0005631446838378906,179.5,0.0008821487426757812,132.75,0.0006229877471923828
10,121.5,0.0003190040588378906,114.25,0.00047516822814941406,125.0,0.0006239414215087891,142.75,0.0005693435668945312,163.5,0.0008790493011474609,125.0,0.0006213188171386719
11,153.25,0.00033283233642578125,157.25,0.0004901885986328125,136.75,0.0005176067352294922,134.25,0.0005645751953125,174.5,0.003710031509399414,136.75,0.0006089210510253906
12,128.5,0.0003211498260498047,113.75,0.0004813671112060547,138.5,0.0005168914794921875,124.75,0.0005643367767333984,160.0,0.000978231430053711,138.5,0.0006113052368164062
13,151.0,0.0003337860107421875,141.0,0.0004775524139404297,141.0,0.0005183219909667969,151.0,0.004261970520019531,164.0,0.0009014606475830078,141.0,0.0006105899810791016
14,109.5,0.000324249267578125,104.0,0.0004780292510986328,109.5,0.0005211830139160156,105.5,0.0005586147308349609,137.0,0.0008878707885742188,109.5,0.041673898696899414
15,160.5,0.0003256797790527344,155.75,0.0004744529724121094,154.75,0.0005114078521728516,156.25,0.0005288124084472656,184.5,0.0008738040924072266,154.75,0.0012254714965820312
16,129.5,0.00032067298889160156,124.0,0.05268120765686035,125.75,0.0005028247833251953,136.25,0.0005273818969726562,137.0,0.05000638961791992,125.75,0.0011622905731201172
17,130.0,0.00031948089599609375,117.0,0.0009458065032958984,124.0,0.0005116462707519531,143.25,0.0005288124084472656,182.0,0.00121307373046875,124.0,0.001051187515258789
18,116.0,0.0003230571746826172,112.75,0.001190185546875,99.5,0.0005075931549072266,101.5,0.0005359649658203125,143.0,0.0011138916015625,99.5,0.0010666847229003906
19,132.75,0.003843069076538086,95.25,0.0010890960693359375,99.0,0.0005095005035400391,119.0,0.0005283355712890625,130.5,0.0014507770538330078,99.0,0.0009565353393554688
20,107.5,0.00033211708068847656,105.75,0.0010771751403808594,105.75,0.0005092620849609375,105.75,0.0005247592926025391,145.5,0.0018243789672851562,105.75,0.0009510517120361328
21,125.0,0.00034546852111816406,119.75,0.001081705093383789,123.5,0.00051116943359375,151.75,0.0005218982696533203,145.5,0.0018041133880615234,123.5,0.0009515285491943359
22,119.5,0.0003216266632080078,105.5,0.0010802745819091797,123.0,0.04360842704772949,123.0,0.0005228519439697266,160.5,0.0018031597137451172,123.0,0.0009562969207763672
23,124.5,0.0003285408020019531,123.5,0.0010654926300048828,123.5,0.001033782958984375,159.5,0.0005211830139160156,155.5,0.002403736114501953,123.5,0.0009486675262451172
24,164.0,0.0003256797790527344,144.5,0.0010678768157958984,144.5,0.000989675521850586,142.25,0.000518798828125,168.0,0.0016179084777832031,144.5,0.0011093616485595703
25,105.75,0.00032138824462890625,120.25,0.0010738372802734375,105.75,0.0009729862213134766,113.25,0.03977608680725098,166.5,0.0012204647064208984,105.75,0.0011289119720458984
26,127.75,0.00032138824462890625,120.0,0.0010759830474853516,127.75,0.0009627342224121094,114.75,0.0008335113525390625,184.0,0.0010771751403808594,127.75,0.0007338523864746094
