Instance,Makespan
"JobShopInstance(name=ABZ5_G.txt, num_jobs=10, num_machines=10)",3109.25
"JobShopInstance(name=ABZ5_Z.txt, num_jobs=10, num_machines=10)",3098.75
"JobShopInstance(name=ABZ6_G.txt, num_jobs=10, num_machines=10)",1971.0
"JobShopInstance(name=ABZ6_Z.txt, num_jobs=10, num_machines=10)",1961.5
"JobShopInstance(name=ABZ7_F.txt, num_jobs=20, num_machines=15)",2364.0
"JobShopInstance(name=ABZ8_F.txt, num_jobs=20, num_machines=15)",2889.0
"JobShopInstance(name=ABZ9_F.txt, num_jobs=20, num_machines=15)",2454.0
"JobShopInstance(name=FT06_F.txt, num_jobs=6, num_machines=6)",121.0
"JobShopInstance(name=FT06_G.txt, num_jobs=6, num_machines=6)",135.75
"JobShopInstance(name=FT06_L.txt, num_jobs=6, num_machines=6)",129.75
"JobShopInstance(name=FT06_T.txt, num_jobs=6, num_machines=6)",134.0
"JobShopInstance(name=FT10_F.txt, num_jobs=10, num_machines=10)",3236.0
"JobShopInstance(name=FT10_G.txt, num_jobs=10, num_machines=10)",3319.0
"JobShopInstance(name=FT10_S.txt, num_jobs=10, num_machines=10)",2914.5
"JobShopInstance(name=FT20_F.txt, num_jobs=20, num_machines=5)",2017.0
"JobShopInstance(name=FT20_G.txt, num_jobs=20, num_machines=5)",2192.5
"JobShopInstance(name=FT20_T.txt, num_jobs=20, num_machines=5)",2148.25
"JobShopInstance(name=LA01_G.txt, num_jobs=10, num_machines=5)",1170.5
"JobShopInstance(name=LA01_L.txt, num_jobs=10, num_machines=5)",1096.25
"JobShopInstance(name=LA02_S.txt, num_jobs=10, num_machines=5)",1275.5
"JobShopInstance(name=LA03_G.txt, num_jobs=10, num_machines=5)",1358.25
"JobShopInstance(name=LA05_G.txt, num_jobs=10, num_machines=5)",998.75
"JobShopInstance(name=LA06_L.txt, num_jobs=15, num_machines=5)",1370.75
"JobShopInstance(name=LA07_G.txt, num_jobs=15, num_machines=5)",1693.0
"JobShopInstance(name=LA09_G.txt, num_jobs=15, num_machines=5)",1438.75
"JobShopInstance(name=LA11_F.txt, num_jobs=20, num_machines=5)",1926.0
"JobShopInstance(name=LA12_F.txt, num_jobs=20, num_machines=5)",1909.0
"JobShopInstance(name=LA12_G.txt, num_jobs=20, num_machines=5)",1933.25
"JobShopInstance(name=LA13_F.txt, num_jobs=20, num_machines=5)",1697.0
"JobShopInstance(name=LA13_G.txt, num_jobs=20, num_machines=5)",1658.5
"JobShopInstance(name=LA14_F.txt, num_jobs=20, num_machines=5)",1752.0
"JobShopInstance(name=LA14_G.txt, num_jobs=20, num_machines=5)",1724.0
"JobShopInstance(name=LA19_S.txt, num_jobs=10, num_machines=10)",1702.25
"JobShopInstance(name=LA20_Z.txt, num_jobs=10, num_machines=10)",2138.0
"JobShopInstance(name=LA21_F.txt, num_jobs=15, num_machines=10)",3042.0
"JobShopInstance(name=LA21_S.txt, num_jobs=15, num_machines=10)",3011.25
"JobShopInstance(name=LA21_Z.txt, num_jobs=15, num_machines=10)",2854.0
"JobShopInstance(name=LA22_Z.txt, num_jobs=15, num_machines=10)",2535.0
"JobShopInstance(name=LA24_F.txt, num_jobs=15, num_machines=10)",2820.0
"JobShopInstance(name=LA24_S.txt, num_jobs=15, num_machines=10)",3090.75
"JobShopInstance(name=LA25_F.txt, num_jobs=15, num_machines=10)",2579.0
"JobShopInstance(name=LA25_S.txt, num_jobs=15, num_machines=10)",2668.5
"JobShopInstance(name=LA27_F.txt, num_jobs=20, num_machines=10)",3557.0
"JobShopInstance(name=LA27_S.txt, num_jobs=20, num_machines=10)",3234.5
"JobShopInstance(name=LA29_F.txt, num_jobs=20, num_machines=10)",3619.0
"JobShopInstance(name=LA29_S.txt, num_jobs=20, num_machines=10)",3839.25
"JobShopInstance(name=LA36_S.txt, num_jobs=15, num_machines=15)",4643.5
"JobShopInstance(name=LA37_S.txt, num_jobs=15, num_machines=15)",4704.5
"JobShopInstance(name=LA38_F.txt, num_jobs=15, num_machines=15)",3802.0
"JobShopInstance(name=LA38_S.txt, num_jobs=15, num_machines=15)",3930.0
"JobShopInstance(name=LA39_S.txt, num_jobs=15, num_machines=15)",5363.25
"JobShopInstance(name=LA40_F.txt, num_jobs=15, num_machines=15)",3917.0
"JobShopInstance(name=LA40_S.txt, num_jobs=15, num_machines=15)",3912.0
"JobShopInstance(name=Lei01.txt, num_jobs=15, num_machines=10)",548.5
"JobShopInstance(name=Lei02.txt, num_jobs=15, num_machines=10)",466.75
"JobShopInstance(name=LP01.txt, num_jobs=16, num_machines=16)",692.0
"JobShopInstance(name=ORB01_Z.txt, num_jobs=10, num_machines=10)",2835.0
"JobShopInstance(name=ORB02_Z.txt, num_jobs=10, num_machines=10)",2548.5
"JobShopInstance(name=ORB03_Z.txt, num_jobs=10, num_machines=10)",1885.0
"JobShopInstance(name=ORB04_Z.txt, num_jobs=10, num_machines=10)",3480.25
"JobShopInstance(name=ORB05_Z.txt, num_jobs=10, num_machines=10)",2877.0
"JobShopInstance(name=S10.1.txt, num_jobs=10, num_machines=10)",282.25
"JobShopInstance(name=S10.2.txt, num_jobs=10, num_machines=10)",322.5
