Instance,Makespan
"JobShopInstance(name=ABZ5_G.txt, num_jobs=10, num_machines=10)",2418.75
"JobShopInstance(name=ABZ5_Z.txt, num_jobs=10, num_machines=10)",2786.75
"JobShopInstance(name=ABZ6_G.txt, num_jobs=10, num_machines=10)",1658.75
"JobShopInstance(name=ABZ6_Z.txt, num_jobs=10, num_machines=10)",1766.75
"JobShopInstance(name=ABZ7_F.txt, num_jobs=20, num_machines=15)",1968.0
"JobShopInstance(name=ABZ8_F.txt, num_jobs=20, num_machines=15)",2282.0
"JobShopInstance(name=ABZ9_F.txt, num_jobs=20, num_machines=15)",1670.0
"JobShopInstance(name=FT06_F.txt, num_jobs=6, num_machines=6)",101.0
"JobShopInstance(name=FT06_G.txt, num_jobs=6, num_machines=6)",106.75
"JobShopInstance(name=FT06_L.txt, num_jobs=6, num_machines=6)",103.25
"JobShopInstance(name=FT06_T.txt, num_jobs=6, num_machines=6)",103.25
"JobShopInstance(name=FT10_F.txt, num_jobs=10, num_machines=10)",2551.0
"JobShopInstance(name=FT10_G.txt, num_jobs=10, num_machines=10)",2589.0
"JobShopInstance(name=FT10_S.txt, num_jobs=10, num_machines=10)",2557.25
"JobShopInstance(name=FT20_F.txt, num_jobs=20, num_machines=5)",1831.0
"JobShopInstance(name=FT20_G.txt, num_jobs=20, num_machines=5)",1864.25
"JobShopInstance(name=FT20_T.txt, num_jobs=20, num_machines=5)",1795.0
"JobShopInstance(name=LA01_G.txt, num_jobs=10, num_machines=5)",1043.25
"JobShopInstance(name=LA01_L.txt, num_jobs=10, num_machines=5)",1035.75
"JobShopInstance(name=LA02_S.txt, num_jobs=10, num_machines=5)",1052.75
"JobShopInstance(name=LA03_G.txt, num_jobs=10, num_machines=5)",888.75
"JobShopInstance(name=LA05_G.txt, num_jobs=10, num_machines=5)",925.0
"JobShopInstance(name=LA06_L.txt, num_jobs=15, num_machines=5)",1274.75
"JobShopInstance(name=LA07_G.txt, num_jobs=15, num_machines=5)",1315.75
"JobShopInstance(name=LA09_G.txt, num_jobs=15, num_machines=5)",1227.25
"JobShopInstance(name=LA11_F.txt, num_jobs=20, num_machines=5)",1497.0
"JobShopInstance(name=LA12_F.txt, num_jobs=20, num_machines=5)",1326.0
"JobShopInstance(name=LA12_G.txt, num_jobs=20, num_machines=5)",1316.75
"JobShopInstance(name=LA13_F.txt, num_jobs=20, num_machines=5)",1354.0
"JobShopInstance(name=LA13_G.txt, num_jobs=20, num_machines=5)",1401.75
"JobShopInstance(name=LA14_F.txt, num_jobs=20, num_machines=5)",1692.0
"JobShopInstance(name=LA14_G.txt, num_jobs=20, num_machines=5)",1728.25
"JobShopInstance(name=LA19_S.txt, num_jobs=10, num_machines=10)",1476.75
"JobShopInstance(name=LA20_Z.txt, num_jobs=10, num_machines=10)",1643.25
"JobShopInstance(name=LA21_F.txt, num_jobs=15, num_machines=10)",2517.0
"JobShopInstance(name=LA21_S.txt, num_jobs=15, num_machines=10)",2517.75
"JobShopInstance(name=LA21_Z.txt, num_jobs=15, num_machines=10)",2537.25
"JobShopInstance(name=LA22_Z.txt, num_jobs=15, num_machines=10)",2232.75
"JobShopInstance(name=LA24_F.txt, num_jobs=15, num_machines=10)",2026.0
"JobShopInstance(name=LA24_S.txt, num_jobs=15, num_machines=10)",2042.75
"JobShopInstance(name=LA25_F.txt, num_jobs=15, num_machines=10)",2118.0
"JobShopInstance(name=LA25_S.txt, num_jobs=15, num_machines=10)",2256.0
"JobShopInstance(name=LA27_F.txt, num_jobs=20, num_machines=10)",2647.0
"JobShopInstance(name=LA27_S.txt, num_jobs=20, num_machines=10)",2650.25
"JobShopInstance(name=LA29_F.txt, num_jobs=20, num_machines=10)",2668.0
"JobShopInstance(name=LA29_S.txt, num_jobs=20, num_machines=10)",2811.75
"JobShopInstance(name=LA36_S.txt, num_jobs=15, num_machines=15)",3475.25
"JobShopInstance(name=LA37_S.txt, num_jobs=15, num_machines=15)",3928.25
"JobShopInstance(name=LA38_F.txt, num_jobs=15, num_machines=15)",3622.0
"JobShopInstance(name=LA38_S.txt, num_jobs=15, num_machines=15)",3622.5
"JobShopInstance(name=LA39_S.txt, num_jobs=15, num_machines=15)",3194.5
"JobShopInstance(name=LA40_F.txt, num_jobs=15, num_machines=15)",3148.0
"JobShopInstance(name=LA40_S.txt, num_jobs=15, num_machines=15)",3077.75
"JobShopInstance(name=Lei01.txt, num_jobs=15, num_machines=10)",468.75
"JobShopInstance(name=Lei02.txt, num_jobs=15, num_machines=10)",329.75
"JobShopInstance(name=LP01.txt, num_jobs=16, num_machines=16)",604.0
"JobShopInstance(name=ORB01_Z.txt, num_jobs=10, num_machines=10)",2176.75
"JobShopInstance(name=ORB02_Z.txt, num_jobs=10, num_machines=10)",2542.0
"JobShopInstance(name=ORB03_Z.txt, num_jobs=10, num_machines=10)",1828.25
"JobShopInstance(name=ORB04_Z.txt, num_jobs=10, num_machines=10)",2016.75
"JobShopInstance(name=ORB05_Z.txt, num_jobs=10, num_machines=10)",1651.75
"JobShopInstance(name=S10.1.txt, num_jobs=10, num_machines=10)",268.75
"JobShopInstance(name=S10.2.txt, num_jobs=10, num_machines=10)",218.5
"JobShopInstance(name=S10.3.txt, num_jobs=10, num_machines=10)",277.0
"JobShopInstance(name=S10.4.txt, num_jobs=10, num_machines=10)",121.0
"JobShopInstance(name=S6.1.txt, num_jobs=6, num_machines=6)",123.25
"JobShopInstance(name=S6.2.txt, num_jobs=6, num_machines=6)",103.75
"JobShopInstance(name=S6.3.txt, num_jobs=6, num_machines=6)",90.75
"JobShopInstance(name=S6.4.txt, num_jobs=6, num_machines=6)",50.25
"JobShopInstance(name=Ta01_F.txt, num_jobs=15, num_machines=15)",3385.0
"JobShopInstance(name=Ta02_F.txt, num_jobs=15, num_machines=15)",3773.0
"JobShopInstance(name=Ta03_F.txt, num_jobs=15, num_machines=15)",3130.0
"JobShopInstance(name=Ta04_F.txt, num_jobs=15, num_machines=15)",2992.0
"JobShopInstance(name=Ta05_F.txt, num_jobs=15, num_machines=15)",3726.0
"JobShopInstance(name=Ta06_F.txt, num_jobs=15, num_machines=15)",2837.0
"JobShopInstance(name=Ta07_F.txt, num_jobs=15, num_machines=15)",3758.0
"JobShopInstance(name=Ta08_F.txt, num_jobs=15, num_machines=15)",4233.0
"JobShopInstance(name=Ta09_F.txt, num_jobs=15, num_machines=15)",4194.0
"JobShopInstance(name=Ta10_F.txt, num_jobs=15, num_machines=15)",3831.0
