Instance,spt_makespan,spt_solve_time,mwkr_makespan,mwkr_solve_time,mopr_makespan,mopr_solve_time,lpt_makespan,lpt_solve_time,lifo_makespan,lifo_solve_time,lor_makespan,lor_solve_time
0,2213.5,0.0038671493530273438,2303.75,0.010189294815063477,2254.5,0.006260395050048828,2862.25,0.010156393051147461,2622.5,0.06768560409545898,2254.5,0.07065320014953613
1,2564.25,0.008660316467285156,2375.25,0.06827545166015625,2585.75,0.019449949264526367,2591.25,0.021982431411743164,2400.5,0.06474757194519043,2585.75,0.027371883392333984
2,2740.25,0.020734786987304688,2514.0,0.012961387634277344,2516.75,0.010761260986328125,2497.5,0.008824825286865234,2325.0,0.030135154724121094,2516.75,0.0075490474700927734
3,2408.75,0.008769035339355469,2239.5,0.022452354431152344,2237.5,0.062064409255981445,2405.25,0.020945310592651367,2579.5,0.05912351608276367,2237.5,0.004968404769897461
4,2389.75,0.006339073181152344,2193.0,0.037622928619384766,2241.75,0.011428117752075195,2288.0,0.012135028839111328,2412.5,0.015855073928833008,2241.75,0.020346879959106445
5,2879.75,0.05734848976135254,2339.75,0.009647846221923828,2337.5,0.03706002235412598,2428.0,0.024387836456298828,2625.5,0.02919173240661621,2337.5,0.01057577133178711
6,2302.5,0.009888887405395508,2247.5,0.05461382865905762,2246.5,0.011882543563842773,2384.0,0.010859012603759766,2534.0,0.05640077590942383,2246.5,0.057233572006225586
7,2444.75,0.03497815132141113,2256.25,0.013364791870117188,2181.25,0.00876164436340332,2500.75,0.00809478759765625,2672.0,0.06761908531188965,2181.25,0.010604619979858398
8,2348.75,0.011572837829589844,2238.75,0.019649744033813477,2372.25,0.049903154373168945,2505.25,0.01579761505126953,2426.0,0.06033205986022949,2372.25,0.009812355041503906
9,2474.5,0.008900642395019531,2294.75,0.011189460754394531,2324.75,0.00881338119506836,2384.5,0.008858442306518555,2492.5,0.029334545135498047,2324.75,0.004132986068725586
10,2873.25,0.015559196472167969,2632.5,0.00827932357788086,2464.0,0.016826629638671875,2985.75,0.06492352485656738,2563.5,0.03928732872009277,2464.0,0.00819706916809082
11,2477.5,0.011298179626464844,2494.0,0.03420543670654297,2351.5,0.012023448944091797,2622.75,0.010849237442016602,2514.0,0.01724982261657715,2351.5,0.06954646110534668
12,2947.25,0.06692194938659668,2497.5,0.012018442153930664,2653.0,0.05794882774353027,2886.0,0.034336090087890625,2756.0,0.03011178970336914,2653.0,0.010034799575805664
13,2632.0,0.010664701461791992,2501.75,0.015562295913696289,2325.25,0.012059926986694336,2451.0,0.01181793212890625,2451.5,0.06596136093139648,2325.25,0.06120944023132324
14,2820.25,0.014719009399414062,2369.25,0.011832952499389648,2242.5,0.009613275527954102,2523.75,0.03403425216674805,2584.5,0.06421971321105957,2242.5,0.010200738906860352
15,2362.5,0.00957036018371582,2160.75,0.06633973121643066,2072.5,0.04607391357421875,2233.25,0.011013507843017578,2413.5,0.02785468101501465,2072.5,0.01359248161315918
16,2474.75,0.006934642791748047,2237.5,0.014014244079589844,2329.25,0.011090993881225586,2440.25,0.0074040889739990234,2326.0,0.04111528396606445,2329.25,0.010454893112182617
17,2346.0,0.01501917839050293,2193.25,0.046173095703125,2149.75,0.0541834831237793,2387.75,0.007043600082397461,2420.0,0.029628515243530273,2149.75,0.05905413627624512
