Instance,Makespan
"JobShopInstance(name=ABZ5_G.txt, num_jobs=10, num_machines=10)",2013.25
"JobShopInstance(name=ABZ5_Z.txt, num_jobs=10, num_machines=10)",1899.0
"JobShopInstance(name=ABZ6_G.txt, num_jobs=10, num_machines=10)",1709.5
"JobShopInstance(name=ABZ6_Z.txt, num_jobs=10, num_machines=10)",1402.5
"JobShopInstance(name=ABZ7_F.txt, num_jobs=20, num_machines=15)",1022.0
"JobShopInstance(name=ABZ8_F.txt, num_jobs=20, num_machines=15)",1052.0
"JobShopInstance(name=ABZ9_F.txt, num_jobs=20, num_machines=15)",1034.0
"JobShopInstance(name=FT06_F.txt, num_jobs=6, num_machines=6)",74.0
"JobShopInstance(name=FT06_G.txt, num_jobs=6, num_machines=6)",75.75
"JobShopInstance(name=FT06_L.txt, num_jobs=6, num_machines=6)",93.5
"JobShopInstance(name=FT06_T.txt, num_jobs=6, num_machines=6)",76.0
"JobShopInstance(name=FT10_F.txt, num_jobs=10, num_machines=10)",1414.0
"JobShopInstance(name=FT10_G.txt, num_jobs=10, num_machines=10)",1610.25
"JobShopInstance(name=FT10_S.txt, num_jobs=10, num_machines=10)",1531.5
"JobShopInstance(name=FT20_F.txt, num_jobs=20, num_machines=5)",1712.0
"JobShopInstance(name=FT20_G.txt, num_jobs=20, num_machines=5)",1614.25
"JobShopInstance(name=FT20_T.txt, num_jobs=20, num_machines=5)",1644.25
"JobShopInstance(name=LA01_G.txt, num_jobs=10, num_machines=5)",872.0
"JobShopInstance(name=LA01_L.txt, num_jobs=10, num_machines=5)",784.25
"JobShopInstance(name=LA02_S.txt, num_jobs=10, num_machines=5)",914.5
"JobShopInstance(name=LA03_G.txt, num_jobs=10, num_machines=5)",850.75
"JobShopInstance(name=LA05_G.txt, num_jobs=10, num_machines=5)",811.25
"JobShopInstance(name=LA06_L.txt, num_jobs=15, num_machines=5)",972.0
"JobShopInstance(name=LA07_G.txt, num_jobs=15, num_machines=5)",1176.5
"JobShopInstance(name=LA09_G.txt, num_jobs=15, num_machines=5)",1111.0
"JobShopInstance(name=LA11_F.txt, num_jobs=20, num_machines=5)",1384.0
"JobShopInstance(name=LA12_F.txt, num_jobs=20, num_machines=5)",1207.0
"JobShopInstance(name=LA12_G.txt, num_jobs=20, num_machines=5)",1388.75
"JobShopInstance(name=LA13_F.txt, num_jobs=20, num_machines=5)",1227.0
"JobShopInstance(name=LA13_G.txt, num_jobs=20, num_machines=5)",1460.5
"JobShopInstance(name=LA14_F.txt, num_jobs=20, num_machines=5)",1292.0
"JobShopInstance(name=LA14_G.txt, num_jobs=20, num_machines=5)",1325.75
"JobShopInstance(name=LA19_S.txt, num_jobs=10, num_machines=10)",1269.0
"JobShopInstance(name=LA20_Z.txt, num_jobs=10, num_machines=10)",1249.25
"JobShopInstance(name=LA21_F.txt, num_jobs=15, num_machines=10)",1442.0
"JobShopInstance(name=LA21_S.txt, num_jobs=15, num_machines=10)",1430.25
"JobShopInstance(name=LA21_Z.txt, num_jobs=15, num_machines=10)",1662.75
"JobShopInstance(name=LA22_Z.txt, num_jobs=15, num_machines=10)",1412.25
"JobShopInstance(name=LA24_F.txt, num_jobs=15, num_machines=10)",1329.0
"JobShopInstance(name=LA24_S.txt, num_jobs=15, num_machines=10)",1421.5
"JobShopInstance(name=LA25_F.txt, num_jobs=15, num_machines=10)",1318.0
"JobShopInstance(name=LA25_S.txt, num_jobs=15, num_machines=10)",1646.25
"JobShopInstance(name=LA27_F.txt, num_jobs=20, num_machines=10)",1673.0
"JobShopInstance(name=LA27_S.txt, num_jobs=20, num_machines=10)",1685.75
"JobShopInstance(name=LA29_F.txt, num_jobs=20, num_machines=10)",1663.0
"JobShopInstance(name=LA29_S.txt, num_jobs=20, num_machines=10)",1894.0
"JobShopInstance(name=LA36_S.txt, num_jobs=15, num_machines=15)",1979.0
"JobShopInstance(name=LA37_S.txt, num_jobs=15, num_machines=15)",2103.75
