Instance,Makespan
"JobShopInstance(name=ABZ5_G.txt, num_jobs=10, num_machines=10)",2045.5
"JobShopInstance(name=ABZ5_Z.txt, num_jobs=10, num_machines=10)",1992.0
"JobShopInstance(name=ABZ6_G.txt, num_jobs=10, num_machines=10)",2098.0
"JobShopInstance(name=ABZ6_Z.txt, num_jobs=10, num_machines=10)",2089.75
"JobShopInstance(name=ABZ7_F.txt, num_jobs=20, num_machines=15)",1784.0
"JobShopInstance(name=ABZ8_F.txt, num_jobs=20, num_machines=15)",1458.0
"JobShopInstance(name=ABZ9_F.txt, num_jobs=20, num_machines=15)",1557.0
"JobShopInstance(name=FT06_F.txt, num_jobs=6, num_machines=6)",84.0
"JobShopInstance(name=FT06_G.txt, num_jobs=6, num_machines=6)",90.0
"JobShopInstance(name=FT06_L.txt, num_jobs=6, num_machines=6)",87.5
"JobShopInstance(name=FT06_T.txt, num_jobs=6, num_machines=6)",83.25
"JobShopInstance(name=FT10_F.txt, num_jobs=10, num_machines=10)",1684.0
"JobShopInstance(name=FT10_G.txt, num_jobs=10, num_machines=10)",2074.75
"JobShopInstance(name=FT10_S.txt, num_jobs=10, num_machines=10)",1961.25
"JobShopInstance(name=FT20_F.txt, num_jobs=20, num_machines=5)",1624.0
"JobShopInstance(name=FT20_G.txt, num_jobs=20, num_machines=5)",1805.5
"JobShopInstance(name=FT20_T.txt, num_jobs=20, num_machines=5)",1639.0
"JobShopInstance(name=LA01_G.txt, num_jobs=10, num_machines=5)",1041.5
"JobShopInstance(name=LA01_L.txt, num_jobs=10, num_machines=5)",1049.75
"JobShopInstance(name=LA02_S.txt, num_jobs=10, num_machines=5)",1018.0
"JobShopInstance(name=LA03_G.txt, num_jobs=10, num_machines=5)",929.75
"JobShopInstance(name=LA05_G.txt, num_jobs=10, num_machines=5)",783.75
"JobShopInstance(name=LA06_L.txt, num_jobs=15, num_machines=5)",1332.25
"JobShopInstance(name=LA07_G.txt, num_jobs=15, num_machines=5)",1082.25
"JobShopInstance(name=LA09_G.txt, num_jobs=15, num_machines=5)",1411.25
"JobShopInstance(name=LA11_F.txt, num_jobs=20, num_machines=5)",1750.0
"JobShopInstance(name=LA12_F.txt, num_jobs=20, num_machines=5)",1508.0
"JobShopInstance(name=LA12_G.txt, num_jobs=20, num_machines=5)",1541.0
"JobShopInstance(name=LA13_F.txt, num_jobs=20, num_machines=5)",1598.0
"JobShopInstance(name=LA13_G.txt, num_jobs=20, num_machines=5)",1733.0
"JobShopInstance(name=LA14_F.txt, num_jobs=20, num_machines=5)",1863.0
"JobShopInstance(name=LA14_G.txt, num_jobs=20, num_machines=5)",2157.0
"JobShopInstance(name=LA19_S.txt, num_jobs=10, num_machines=10)",1385.5
"JobShopInstance(name=LA20_Z.txt, num_jobs=10, num_machines=10)",1549.75
"JobShopInstance(name=LA21_F.txt, num_jobs=15, num_machines=10)",2225.0
"JobShopInstance(name=LA21_S.txt, num_jobs=15, num_machines=10)",2182.5
"JobShopInstance(name=LA21_Z.txt, num_jobs=15, num_machines=10)",2028.5
"JobShopInstance(name=LA22_Z.txt, num_jobs=15, num_machines=10)",1963.5
"JobShopInstance(name=LA24_F.txt, num_jobs=15, num_machines=10)",2016.0
"JobShopInstance(name=LA24_S.txt, num_jobs=15, num_machines=10)",1999.75
"JobShopInstance(name=LA25_F.txt, num_jobs=15, num_machines=10)",1875.0
"JobShopInstance(name=LA25_S.txt, num_jobs=15, num_machines=10)",1921.25
"JobShopInstance(name=LA27_F.txt, num_jobs=20, num_machines=10)",2289.0
"JobShopInstance(name=LA27_S.txt, num_jobs=20, num_machines=10)",2440.75
"JobShopInstance(name=LA29_F.txt, num_jobs=20, num_machines=10)",2501.0
"JobShopInstance(name=LA29_S.txt, num_jobs=20, num_machines=10)",2261.75
"JobShopInstance(name=LA36_S.txt, num_jobs=15, num_machines=15)",3224.5
"JobShopInstance(name=LA37_S.txt, num_jobs=15, num_machines=15)",2935.25
"JobShopInstance(name=LA38_F.txt, num_jobs=15, num_machines=15)",2881.0
"JobShopInstance(name=LA38_S.txt, num_jobs=15, num_machines=15)",2588.0
"JobShopInstance(name=LA39_S.txt, num_jobs=15, num_machines=15)",2938.0
"JobShopInstance(name=LA40_F.txt, num_jobs=15, num_machines=15)",2929.0
"JobShopInstance(name=LA40_S.txt, num_jobs=15, num_machines=15)",2994.75
"JobShopInstance(name=Lei01.txt, num_jobs=15, num_machines=10)",370.0
"JobShopInstance(name=Lei02.txt, num_jobs=15, num_machines=10)",339.75
"JobShopInstance(name=LP01.txt, num_jobs=16, num_machines=16)",564.25
"JobShopInstance(name=ORB01_Z.txt, num_jobs=10, num_machines=10)",1876.75
"JobShopInstance(name=ORB02_Z.txt, num_jobs=10, num_machines=10)",1761.0
"JobShopInstance(name=ORB03_Z.txt, num_jobs=10, num_machines=10)",1727.5
"JobShopInstance(name=ORB04_Z.txt, num_jobs=10, num_machines=10)",2035.5
"JobShopInstance(name=ORB05_Z.txt, num_jobs=10, num_machines=10)",1478.25
"JobShopInstance(name=S10.1.txt, num_jobs=10, num_machines=10)",222.75
"JobShopInstance(name=S10.2.txt, num_jobs=10, num_machines=10)",190.75
"JobShopInstance(name=S10.3.txt, num_jobs=10, num_machines=10)",197.5
"JobShopInstance(name=S10.4.txt, num_jobs=10, num_machines=10)",80.0
"JobShopInstance(name=S6.1.txt, num_jobs=6, num_machines=6)",112.5
"JobShopInstance(name=S6.2.txt, num_jobs=6, num_machines=6)",103.25
"JobShopInstance(name=S6.3.txt, num_jobs=6, num_machines=6)",118.75
"JobShopInstance(name=S6.4.txt, num_jobs=6, num_machines=6)",52.0
"JobShopInstance(name=Ta01_F.txt, num_jobs=15, num_machines=15)",3439.0
"JobShopInstance(name=Ta02_F.txt, num_jobs=15, num_machines=15)",2568.0
"JobShopInstance(name=Ta03_F.txt, num_jobs=15, num_machines=15)",2562.0
"JobShopInstance(name=Ta04_F.txt, num_jobs=15, num_machines=15)",2700.0
"JobShopInstance(name=Ta05_F.txt, num_jobs=15, num_machines=15)",3532.0
"JobShopInstance(name=Ta06_F.txt, num_jobs=15, num_machines=15)",2977.0
"JobShopInstance(name=Ta07_F.txt, num_jobs=15, num_machines=15)",2974.0
"JobShopInstance(name=Ta08_F.txt, num_jobs=15, num_machines=15)",2680.0
"JobShopInstance(name=Ta09_F.txt, num_jobs=15, num_machines=15)",2892.0
"JobShopInstance(name=Ta10_F.txt, num_jobs=15, num_machines=15)",3080.0
"JobShopInstance(name=Ta11_F.txt, num_jobs=20, num_machines=15)",3533.0
"JobShopInstance(name=Ta12_F.txt, num_jobs=20, num_machines=15)",3989.0
"JobShopInstance(name=Ta13_F.txt, num_jobs=20, num_machines=15)",3853.0
"JobShopInstance(name=Ta14_F.txt, num_jobs=20, num_machines=15)",3103.0
"JobShopInstance(name=Ta15_F.txt, num_jobs=20, num_machines=15)",3415.0
"JobShopInstance(name=Ta16_F.txt, num_jobs=20, num_machines=15)",3214.0
"JobShopInstance(name=Ta17_F.txt, num_jobs=20, num_machines=15)",3271.0
"JobShopInstance(name=Ta18_F.txt, num_jobs=20, num_machines=15)",4226.0
"JobShopInstance(name=Ta19_F.txt, num_jobs=20, num_machines=15)",4107.0
"JobShopInstance(name=Ta20_F.txt, num_jobs=20, num_machines=15)",3588.0
"JobShopInstance(name=Ta21_F.txt, num_jobs=20, num_machines=20)",4912.0
"JobShopInstance(name=Ta22_F.txt, num_jobs=20, num_machines=20)",5168.0
"JobShopInstance(name=Ta23_F.txt, num_jobs=20, num_machines=20)",4943.0
"JobShopInstance(name=Ta24_F.txt, num_jobs=20, num_machines=20)",5771.0
"JobShopInstance(name=Ta25_F.txt, num_jobs=20, num_machines=20)",5147.0
"JobShopInstance(name=Ta26_F.txt, num_jobs=20, num_machines=20)",5162.0
"JobShopInstance(name=Ta27_F.txt, num_jobs=20, num_machines=20)",5380.0
"JobShopInstance(name=Ta28_F.txt, num_jobs=20, num_machines=20)",5494.0
"JobShopInstance(name=Ta29_F.txt, num_jobs=20, num_machines=20)",4745.0
"JobShopInstance(name=Ta30_F.txt, num_jobs=20, num_machines=20)",4913.0
"JobShopInstance(name=Ta31_F.txt, num_jobs=30, num_machines=15)",4667.0
"JobShopInstance(name=Ta32_F.txt, num_jobs=30, num_machines=15)",4993.0
"JobShopInstance(name=Ta33_F.txt, num_jobs=30, num_machines=15)",4926.0
"JobShopInstance(name=Ta34_F.txt, num_jobs=30, num_machines=15)",5192.0
"JobShopInstance(name=Ta35_F.txt, num_jobs=30, num_machines=15)",4102.0
"JobShopInstance(name=Ta36_F.txt, num_jobs=30, num_machines=15)",5179.0
"JobShopInstance(name=Ta37_F.txt, num_jobs=30, num_machines=15)",4634.0
"JobShopInstance(name=Ta38_F.txt, num_jobs=30, num_machines=15)",4516.0
"JobShopInstance(name=Ta39_F.txt, num_jobs=30, num_machines=15)",4996.0
"JobShopInstance(name=Ta40_F.txt, num_jobs=30, num_machines=15)",3619.0
"JobShopInstance(name=Ta41_F.txt, num_jobs=30, num_machines=20)",6223.0
"JobShopInstance(name=Ta42_F.txt, num_jobs=30, num_machines=20)",6343.0
"JobShopInstance(name=Ta43_F.txt, num_jobs=30, num_machines=20)",5518.0
"JobShopInstance(name=Ta44_F.txt, num_jobs=30, num_machines=20)",5413.0
"JobShopInstance(name=Ta45_F.txt, num_jobs=30, num_machines=20)",7207.0
