Instance,Makespan
FT06_G.txt,61
Ta14_F.txt,1437
ABZ6_Z.txt,1079
Ta68_F.txt,3162
LA40_F.txt,1313
LA11_F.txt,1280
ORB03_Z.txt,1151
LA07_G.txt,1003
Ta10_F.txt,1325
S10.3.txt,143
LA22_Z.txt,1061
LA09_G.txt,1065
Ta53_F.txt,2915
Ta57_F.txt,3167
Ta05_F.txt,1309
Ta16_F.txt,1498
LA29_S.txt,1301
FT10_G.txt,1052
S6.2.txt,89
Ta35_F.txt,2167
Ta47_F.txt,2168
Ta06_F.txt,1338
LA13_F.txt,1228
Ta04_F.txt,1271
Ta69_F.txt,3541
FT10_F.txt,989
Ta56_F.txt,3062
S10.2.txt,158
LA12_F.txt,1103
LA06_L.txt,1186
Ta32_F.txt,2000
Ta52_F.txt,2931
Ta54_F.txt,3073
FT10_S.txt,1039
ABZ5_Z.txt,1413
Ta21_F.txt,1793
Ta74_F.txt,5948
Ta30_F.txt,1713
Ta03_F.txt,1298
ABZ6_G.txt,1063
LA02_S.txt,713
Ta71_F.txt,6255
LA14_G.txt,1522
LA27_F.txt,1316
S6.3.txt,84
Ta59_F.txt,3001
LA25_F.txt,1045
ORB01_Z.txt,1215
Ta09_F.txt,1390
LA05_G.txt,665
Lei02.txt,214
Ta45_F.txt,2171
Ta22_F.txt,1748
FT06_F.txt,56
LA36_S.txt,1415
Ta51_F.txt,3202
FT20_T.txt,1216
Ta37_F.txt,1933
Ta77_F.txt,6108
LA21_F.txt,1116
Ta20_F.txt,1481
LA38_F.txt,1279
LA39_S.txt,1366
Ta41_F.txt,2276
LA01_G.txt,739
LA40_S.txt,1343
ORB05_Z.txt,1016
Ta11_F.txt,1502
LA24_S.txt,1046
Ta67_F.txt,3083
Ta34_F.txt,2031
Ta28_F.txt,1738
Ta38_F.txt,1866
Ta02_F.txt,1337
LA29_F.txt,1240
LA12_G.txt,1204
S10.4.txt,63
Ta26_F.txt,1784
LA20_Z.txt,1036
Ta61_F.txt,3271
FT06_T.txt,69
S6.4.txt,44
Lei01.txt,256
Ta63_F.txt,3154
Ta44_F.txt,2216
Ta58_F.txt,3231
Ta15_F.txt,1453
Ta42_F.txt,2187
Ta36_F.txt,2019
ABZ7_F.txt,711
LA21_Z.txt,1195
Ta60_F.txt,2927
Ta78_F.txt,5808
Ta75_F.txt,6357
LA37_S.txt,1547
Ta76_F.txt,6179
LA03_G.txt,691
LA38_S.txt,1336
FT20_F.txt,1238
Ta80_F.txt,5896
Ta18_F.txt,1548
Ta65_F.txt,3236
Ta25_F.txt,1758
Ta50_F.txt,2151
Ta08_F.txt,1306
Ta23_F.txt,1700
Ta70_F.txt,3553
Ta13_F.txt,1463
LA24_F.txt,1005
Ta17_F.txt,1577
ORB02_Z.txt,1015
Ta24_F.txt,1780
Ta43_F.txt,2140
Ta31_F.txt,1923
Ta29_F.txt,1750
Ta07_F.txt,1324
S10.1.txt,161
ABZ9_F.txt,735
LP01.txt,239
LA13_G.txt,1326
FT06_L.txt,72
Ta62_F.txt,3366
Ta19_F.txt,1437
FT20_G.txt,1356
ABZ8_F.txt,734
Ta66_F.txt,3268
Ta12_F.txt,1472
Ta73_F.txt,6381
Ta46_F.txt,2264
LA19_S.txt,935
Ta40_F.txt,1862
LA21_S.txt,1151
Ta33_F.txt,2005
LA14_F.txt,1381
Ta27_F.txt,1834
Ta55_F.txt,3072
S6.1.txt,103
ABZ5_G.txt,1379
Ta72_F.txt,5871
LA01_L.txt,862
Ta64_F.txt,3157
LA25_S.txt,1101
Ta49_F.txt,2233
Ta39_F.txt,1919
Ta79_F.txt,6007
Ta01_F.txt,1332
ORB04_Z.txt,1154
Ta48_F.txt,2199
LA27_S.txt,1358
