Instance,Makespan,Time
0,668,0.14218592643737793
1,717,0.5547568798065186
2,714,0.13075494766235352
3,817,0.1467421054840088
4,666,0.45281505584716797
5,782,0.12454628944396973
6,751,0.1314997673034668
7,751,0.1315319538116455
8,583,0.13608074188232422
9,750,0.15479469299316406
10,679,0.1347332000732422
11,659,0.13420462608337402
12,561,0.16131806373596191
13,736,0.18599677085876465
14,621,0.14026522636413574
15,653,0.1400461196899414
16,739,0.21995258331298828
17,646,0.15169215202331543
18,675,0.15664458274841309
19,711,0.1501631736755371
20,631,0.15146517753601074
21,745,0.21976399421691895
22,733,0.17288446426391602
23,767,0.15145611763000488
24,595,0.14871954917907715
25,741,0.23389720916748047
26,792,0.15934133529663086
27,637,0.16420412063598633
28,670,0.22248411178588867
29,808,0.13216519355773926
30,728,0.14847922325134277
31,702,0.1778872013092041
32,769,0.1898810863494873
33,629,0.16434335708618164
34,631,0.15210556983947754
35,611,0.16800856590270996
36,756,0.15236783027648926
37,741,0.1541903018951416
38,792,0.15514349937438965
39,662,0.17297601699829102
40,679,0.19032597541809082
41,615,0.26171302795410156
42,718,0.16504287719726562
43,706,0.1745893955230713
44,643,0.2729477882385254
45,518,0.15155887603759766
46,699,0.1710371971130371
47,662,0.1688377857208252
48,730,0.20724940299987793
49,739,0.1632547378540039
