Instance,Makespan,Time
0,936,0.6592247486114502
1,898,0.5086712837219238
2,846,0.9460287094116211
3,967,0.2841453552246094
4,972,2.4097976684570312
5,920,0.6447300910949707
6,914,0.7319715023040771
7,882,0.5957820415496826
8,913,0.9087574481964111
9,833,0.2657053470611572
10,845,0.352982759475708
11,968,0.5471980571746826
12,916,0.3617212772369385
13,1018,0.7664477825164795
14,868,0.9742295742034912
15,918,1.928633689880371
16,880,0.8333487510681152
17,922,3.3770222663879395
18,879,1.3454740047454834
19,841,0.40669703483581543
20,898,0.5776979923248291
21,897,0.378751277923584
22,813,0.376018762588501
23,858,0.4452223777770996
24,988,1.7499935626983643
25,826,0.6251876354217529
26,919,0.5483493804931641
27,912,2.222369909286499
28,906,0.5243592262268066
29,853,2.920854330062866
30,895,2.1272850036621094
31,801,1.2704226970672607
32,842,0.7273921966552734
33,886,0.46367573738098145
34,940,1.1746525764465332
35,886,0.8067212104797363
36,870,1.1631972789764404
37,984,1.0696964263916016
38,907,1.704756736755371
39,884,1.224304437637329
40,852,0.3713235855102539
41,838,0.6333673000335693
42,896,0.5339839458465576
43,965,2.13171648979187
44,961,1.6708645820617676
45,942,1.5342698097229004
46,894,0.913109302520752
47,917,0.9605939388275146
48,995,1.2678520679473877
49,910,1.3666350841522217
