NUMERO DE TRABAJOS
10
NUMERO DE RECURSOS
10
SECUENCIA DE MAQUINAS
0 1 2 3 4 5 6 7 8 9 
0 2 4 9 3 1 6 5 7 8 
1 0 3 2 8 5 7 6 9 4 
1 2 0 4 6 8 7 3 9 5 
2 0 1 5 3 4 8 7 9 6 
2 1 5 3 8 9 0 6 4 7 
1 0 3 2 6 5 9 8 7 4 
2 0 1 5 4 6 8 9 7 3 
0 1 3 5 2 9 6 7 4 8 
1 0 2 6 8 9 5 3 4 7 
DURACIONES
(26,29,31) (74,78,81) (9,9,9) (32,36,44) (43,49,60) (10,11,11) (54,62,67) (51,56,68) (44,44,51) (21,21,23) 
(41,43,51) (77,90,103) (73,75,85) (11,11,12) (59,69,79) (24,28,32) (41,46,56) (45,46,46) (71,72,89) (30,30,32) 
(81,91,104) (79,85,86) (34,39,46) (71,74,78) (81,90,92) (10,10,12) (12,12,13) (87,89,103) (42,45,56) (31,33,33) 
(71,81,96) (88,95,98) (71,71,81) (87,99,108) (8,9,10) (46,52,65) (73,85,106) (93,98,115) (20,22,24) (43,43,53) 
(12,14,16) (6,6,7) (20,22,27) (53,61,64) (24,26,26) (64,69,74) (19,21,22) (43,49,61) (66,72,81) (53,53,61) 
(84,84,96) (2,2,2) (46,52,60) (93,95,108) (45,48,55) (64,72,77) (44,47,56) (57,65,81) (6,6,7) (24,25,28) 
(42,46,48) (35,37,37) (54,61,72) (12,13,16) (32,32,35) (18,21,23) (28,32,33) (76,89,94) (27,30,34) (55,55,65) 
(29,31,36) (78,86,95) (43,46,52) (66,74,81) (30,32,39) (80,88,108) (17,19,20) (43,48,56) (32,36,45) (72,79,90) 
(66,76,89) (65,69,81) (76,76,76) (45,51,62) (82,85,87) (10,11,11) (37,40,49) (78,89,94) (26,26,28) (74,74,92) 
(75,85,92) (13,13,15) (61,61,76) (7,7,7) (55,64,64) (65,76,88) (41,47,54) (45,52,59) (88,90,103) (40,45,48) 
