NUMERO DE TRABAJOS
10
NUMERO DE RECURSOS
10
SECUENCIA DE MAQUINAS
0 1 2 3 4 5 6 7 8 9 
0 2 4 9 3 1 6 5 7 8 
1 0 3 2 8 5 7 6 9 4 
1 2 0 4 6 8 7 3 9 5 
2 0 1 5 3 4 8 7 9 6 
2 1 5 3 8 9 0 6 4 7 
1 0 3 2 6 5 9 8 7 4 
2 0 1 5 4 6 8 9 7 3 
0 1 3 5 2 9 6 7 4 8 
1 0 2 6 8 9 5 3 4 7 
DURACIONES
(28,29,31) (73,78,83) (8,9,10) (33,36,40) (45,49,52) (10,11,13) (58,62,72) (55,56,67) (37,44,51) (17,21,25) 
(40,43,48) (74,90,101) (63,75,81) (9,11,13) (65,69,81) (26,28,30) (38,46,54) (41,46,47) (67,72,82) (25,30,33) 
(85,91,103) (73,85,96) (33,39,42) (61,74,75) (89,90,99) (9,10,11) (11,12,14) (85,89,101) (38,45,49) (31,33,39) 
(76,81,97) (81,95,105) (58,71,85) (90,99,103) (8,9,10) (45,52,62) (73,85,87) (82,98,113) (20,22,25) (39,43,46) 
(13,14,16) (5,6,7) (20,22,23) (58,61,62) (21,26,31) (61,69,79) (17,21,25) (48,49,57) (62,72,83) (50,53,58) 
(75,84,99) (2,2,2) (49,52,54) (87,95,97) (42,48,51) (63,72,78) (45,47,54) (61,65,74) (5,6,7) (23,25,28) 
(41,46,54) (33,37,39) (49,61,65) (12,13,14) (28,32,38) (18,21,24) (28,32,35) (80,89,92) (29,30,32) (48,55,56) 
(27,31,34) (73,86,101) (38,46,48) (66,74,84) (28,32,35) (79,88,95) (17,19,22) (46,48,51) (31,36,43) (64,79,90) 
(72,76,88) (59,69,70) (74,76,88) (42,51,57) (78,85,94) (9,11,12) (35,40,42) (88,89,96) (23,26,27) (63,74,84) 
(76,85,93) (11,13,15) (52,61,71) (6,7,8) (57,64,69) (64,76,81) (42,47,56) (50,52,55) (82,90,104) (40,45,50) 
