NUMERO DE TRABAJOS
20
NUMERO DE RECURSOS
5
SECUENCIA DE MAQUINAS
0 1 2 3 4 
0 1 3 2 4 
1 0 2 4 3 
1 0 4 2 3 
2 1 0 3 4 
2 1 4 0 3 
1 0 2 3 4 
2 1 0 3 4 
0 3 2 1 4 
1 2 0 3 4 
1 3 0 4 2 
2 0 1 3 4 
0 2 1 3 4 
2 0 1 3 4 
0 1 4 2 3 
1 0 3 4 2 
0 2 1 3 4 
0 1 4 2 3 
1 2 0 3 4 
0 1 2 3 4 
DURACIONES
(26,29,31) (9,9,9) (46,49,51) (55,62,75) (38,44,54) 
(39,43,43) (65,75,81) (63,69,84) (46,46,53) (72,72,79) 
(87,91,109) (34,39,44) (88,90,102) (12,12,14) (39,45,51) 
(71,81,94) (64,71,86) (9,9,9) (84,85,104) (22,22,24) 
(12,14,16) (21,22,22) (23,26,31) (20,21,22) (65,72,74) 
(79,84,105) (52,52,55) (47,48,56) (43,47,58) (6,6,6) 
(46,46,56) (54,61,69) (32,32,32) (30,32,39) (29,30,36) 
(29,31,37) (40,46,57) (28,32,35) (17,19,22) (34,36,36) 
(65,76,93) (70,76,86) (79,85,106) (34,40,42) (24,26,26) 
(79,85,91) (56,61,65) (56,64,80) (43,47,53) (89,90,104) 
(78,78,89) (32,36,42) (11,11,12) (53,56,64) (18,21,22) 
(85,90,108) (10,11,13) (25,28,30) (43,46,54) (29,30,33) 
(85,85,101) (66,74,87) (9,10,10) (84,89,106) (31,33,41) 
(93,95,118) (96,99,118) (48,52,53) (87,98,111) (38,43,50) 
(6,6,6) (56,61,69) (62,69,76) (45,49,59) (49,53,65) 
(2,2,2) (81,95,101) (64,72,84) (58,65,80) (23,25,29) 
(32,37,43) (13,13,15) (21,21,21) (78,89,109) (53,55,56) 
(79,86,90) (69,74,90) (77,88,93) (47,48,52) (79,79,98) 
(61,69,75) (48,51,57) (11,11,13) (86,89,92) (63,74,74) 
(12,13,15) (6,7,8) (65,76,86) (51,52,59) (40,45,48) 
TIEMPOS MAXIMOS DE FIN
(1165,1165) (1165,1165) (1165,1165) (1165,1165) (1165,1165) (1165,1165) (1165,1165) (1165,1165) (1165,1165) (1165,1165) (1165,1165) (1165,1165) (1165,1165) (1165,1165) (1165,1165) (1165,1165) (1165,1165) (1165,1165) (1165,1165) (1165,1165) 
// Desviacion Izda: min(0%), max(15%), promedio(7.05907%)
// Desviacion Dcha: min(0%), max(25%), promedio(12.8293%)
