NUMERO DE TRABAJOS
10
NUMERO DE RECURSOS
10
SECUENCIA DE MAQUINAS
0 1 2 3 4 5 6 7 8 9 
0 1 2 3 4 7 6 5 9 8 
2 1 0 4 3 5 6 7 8 9 
2 1 0 4 3 7 6 5 9 8 
1 0 4 3 2 6 5 9 8 7 
1 0 4 3 2 6 5 9 8 7 
1 2 4 0 3 6 7 9 5 8 
1 2 4 0 3 5 7 8 9 6 
0 2 3 4 1 6 7 9 5 8 
0 2 3 4 1 5 7 8 9 6 
DURACIONES
(88,96,110) (62,69,80) (22,25,29) (4,5,6) (48,55,63) (14,15,17) (81,88,98) (10,11,13) (15,17,20) (71,82,96) 
(10,11,13) (41,48,57) (58,67,75) (33,38,45) (16,18,20) (22,24,27) (55,62,70) (82,92,106) (90,96,107) (71,81,92) 
(59,67,78) (57,63,71) (86,93,110) (74,85,94) (23,25,29) (62,72,80) (47,51,59) (76,81,96) (53,58,65) (13,15,17) 
(28,30,35) (31,35,41) (23,27,32) (77,82,93) (40,44,49) (86,92,106) (22,25,28) (46,49,56) (24,28,31) (68,77,91) 
(47,53,63) (76,83,96) (65,73,85) (24,26,30) (70,77,90) (30,33,38) (80,92,106) (90,99,109) (33,38,42) (35,38,44) 
(18,20,23) (40,44,50) (73,81,96) (76,88,99) (62,66,74) (62,70,80) (79,91,107) (32,37,41) (48,55,63) (83,96,106) 
(18,21,24) (85,93,109) (20,22,25) (52,56,65) (29,34,38) (34,40,46) (49,53,60) (42,46,54) (27,29,33) (54,63,72) 
(30,32,36) (58,63,72) (31,36,41) (24,26,29) (15,17,20) (73,85,101) (14,15,17) (50,55,65) (14,16,19) (74,82,97) 
(63,73,83) (40,46,52) (80,89,102) (22,24,27) (91,99,111) (79,92,103) (6,7,8) (45,51,59) (17,19,22) (12,14,16) 
(45,52,60) (18,20,23) (63,70,83) (90,98,113) (21,23,26) (14,15,17) (75,81,94) (66,71,79) (21,24,28) (72,81,95) 
