Instance,Makespan,Time
0,3041.75,2.5212624073028564
1,3913.25,1.4893360137939453
2,3560.25,1.4981663227081299
3,3587.75,1.5185472965240479
4,2623.5,1.5119497776031494
5,2268.5,1.4976227283477783
6,3369.5,1.5302278995513916
7,3542.25,1.5497052669525146
8,2823.25,1.5491023063659668
9,2470.0,1.466900110244751
10,2770.0,1.4648950099945068
11,2644.5,1.4684677124023438
12,3847.25,1.4592046737670898
13,3256.75,1.461653470993042
14,2676.25,1.4656167030334473
15,3120.75,1.480783462524414
16,3573.75,1.5093486309051514
17,2344.75,1.5161373615264893
18,2309.75,1.534883737564087
19,3204.0,1.549602746963501
20,2964.25,1.5556442737579346
21,3372.75,1.543980360031128
22,3513.0,1.5594170093536377
23,3838.0,1.5511553287506104
24,2688.0,1.5483930110931396
25,3465.0,1.5687966346740723
26,3937.5,1.5643682479858398
27,2648.75,1.5490076541900635
28,2847.5,1.5560359954833984
29,3564.75,1.4187772274017334
30,2454.25,1.4109117984771729
31,2704.0,1.410099983215332
32,3559.0,1.4881916046142578
33,3575.0,1.5452778339385986
34,3929.5,1.550900936126709
35,2439.0,1.5312349796295166
36,3167.0,1.5094261169433594
37,2777.0,1.523352861404419
38,3090.75,1.520376205444336
39,2728.5,1.5256493091583252
40,3486.25,1.5192010402679443
41,3321.75,1.4486465454101562
42,3599.75,1.2350223064422607
43,2517.0,1.231790542602539
44,3001.75,1.2539896965026855
45,2464.0,1.3486099243164062
46,3949.25,1.4398560523986816
47,3074.25,1.4370057582855225
48,2753.0,1.4486358165740967
49,2736.25,1.5194785594940186
