Instance,Makespan,Time
0,1516.5,3.078476667404175
1,1693.0,3.1863515377044678
2,1677.25,3.199805498123169
3,1678.75,3.029982089996338
4,1687.5,3.021054744720459
5,1734.5,3.0246992111206055
6,1611.75,2.693502426147461
7,1764.25,2.635195255279541
8,1577.0,2.652470350265503
9,1650.25,2.6610071659088135
10,1575.25,2.2551071643829346
11,1711.75,2.246958017349243
12,1545.0,2.435901403427124
13,1637.0,2.4289679527282715
14,1719.25,2.4355359077453613
15,1747.25,2.53076434135437
16,1545.75,2.534730911254883
17,1614.25,2.184800624847412
18,1666.75,2.1981513500213623
19,1665.0,2.170335054397583
20,1686.25,2.179713010787964
21,1807.5,2.3321783542633057
22,1757.75,1.9536888599395752
23,1613.5,1.9619877338409424
24,1649.0,1.952526330947876
25,1761.75,1.9605004787445068
26,1693.75,1.9349019527435303
27,1604.75,1.9694337844848633
28,1615.5,1.9499001502990723
29,1769.75,1.947331190109253
30,1714.0,1.955575942993164
31,1652.5,1.936432123184204
32,1760.5,1.9670522212982178
33,1624.25,1.7314918041229248
34,1716.0,1.6857616901397705
35,1589.25,1.596217393875122
36,1676.25,1.6512317657470703
37,1730.75,1.6399438381195068
38,1700.25,1.577131986618042
39,1733.75,1.6057238578796387
40,1763.25,1.5949516296386719
41,1670.0,1.653926134109497
42,1660.0,1.3582868576049805
43,1728.0,1.3658533096313477
44,1651.25,1.3809309005737305
45,1695.5,1.3654861450195312
46,1739.5,1.375403642654419
47,1636.5,1.3747329711914062
48,1643.0,1.3611211776733398
49,1889.5,1.370659589767456
