Instance,Makespan,Time
0,960.5,1.7716684341430664
1,1151.0,0.5922057628631592
2,1282.0,0.4479389190673828
3,1028.75,0.46437549591064453
4,1103.0,0.45795226097106934
5,975.75,0.6446220874786377
6,1125.0,0.5407860279083252
7,1072.75,0.39336490631103516
8,1164.5,0.4403555393218994
9,1082.25,0.540726900100708
10,1067.75,0.6500217914581299
11,1179.0,0.5561373233795166
12,1201.25,0.4905061721801758
13,1030.75,0.6033895015716553
14,1016.75,0.4119584560394287
15,1049.25,0.5492842197418213
16,963.75,0.3617560863494873
17,1223.0,0.3634040355682373
18,1126.5,0.3686044216156006
19,997.0,0.46095919609069824
20,1180.0,0.4052298069000244
21,1336.0,0.4266481399536133
22,1179.5,0.39008545875549316
23,992.75,0.44682884216308594
24,1046.5,0.4507629871368408
25,1193.25,0.43917179107666016
26,1138.0,0.44850921630859375
27,1109.5,0.4498426914215088
28,1052.25,0.5518167018890381
29,1057.25,0.4859302043914795
30,1017.5,0.4463047981262207
31,1071.75,0.39888906478881836
32,1054.25,0.468569278717041
33,1235.0,0.36081361770629883
34,1133.25,0.3650672435760498
35,1119.25,0.37824249267578125
36,1016.75,0.3777353763580322
37,1226.75,0.35170531272888184
38,1029.5,0.3422245979309082
39,927.0,0.4200096130371094
40,1070.0,0.46369147300720215
41,1068.0,0.4969162940979004
42,1012.25,0.4365081787109375
43,1134.5,0.2989060878753662
44,1115.25,0.2985193729400635
45,1166.0,0.3398618698120117
46,1037.25,0.4265472888946533
47,1089.5,0.4116818904876709
48,1098.25,0.5413491725921631
49,1075.0,0.4455850124359131
