Instance,Makespan,Time
0,2715.75,6.117760181427002
1,2968.5,4.556114435195923
2,3092.5,3.8172502517700195
3,2706.75,3.818571090698242
4,3032.75,3.740567684173584
5,2877.25,3.517314910888672
6,2632.0,3.491138219833374
7,2600.75,3.4778099060058594
8,2979.75,3.49013090133667
9,2476.0,3.5124847888946533
10,2912.5,3.5780296325683594
11,2760.75,3.761314868927002
12,2783.5,4.0277745723724365
13,2745.5,3.964942455291748
14,2726.25,4.1629486083984375
15,2904.25,3.6222541332244873
16,2753.0,3.5606043338775635
17,2845.25,3.545199394226074
18,2820.5,3.5982651710510254
19,2853.0,3.593663454055786
20,3043.0,3.5689496994018555
21,2795.5,3.583951950073242
22,2907.75,3.5485870838165283
23,2886.25,3.586073875427246
24,2568.25,3.8329756259918213
25,2559.5,4.159320831298828
26,3011.0,4.247304201126099
27,2463.5,4.039891719818115
28,2761.0,3.681077480316162
29,2744.5,3.618112564086914
30,3037.75,3.7615575790405273
31,2795.5,3.686828136444092
32,2881.5,3.5220189094543457
33,2803.0,3.535170316696167
34,2904.75,3.0654451847076416
35,2877.25,3.0750951766967773
36,2587.0,3.0293874740600586
37,2837.5,3.030735731124878
38,2818.0,3.0311484336853027
39,2778.75,2.956041097640991
40,2692.75,3.018289089202881
41,2735.5,3.062366247177124
42,2657.5,3.1928508281707764
43,2707.5,3.3604471683502197
44,2656.5,3.4296746253967285
45,2685.0,3.7775633335113525
46,2880.5,3.6271514892578125
47,2591.5,3.435570478439331
48,2891.5,3.714844226837158
49,2729.5,4.105579853057861
