Instance,Makespan
Ta59_F.txt,4121.0
LA38_F.txt,1968.25
Lei02.txt,271.0
LA05_G.txt,678.0
LA02_S.txt,1021.5
S10.3.txt,161.75
Ta66_F.txt,4245.0
Ta50_F.txt,3129.5
FT06_L.txt,69.5
Ta16_F.txt,2054.0
Ta36_F.txt,2935.5
Ta10_F.txt,2159.0
Ta30_F.txt,2597.5
ABZ6_Z.txt,1329.0
S10.4.txt,76.5
LA11_F.txt,1456.0
Ta32_F.txt,2900.0
FT10_G.txt,1248.75
Ta74_F.txt,6895.5
Ta45_F.txt,3275.5
LA07_G.txt,1160.5
Ta61_F.txt,4354.25
LA22_Z.txt,1718.25
FT06_F.txt,69.0
Ta71_F.txt,6987.0
FT20_G.txt,1611.75
LA29_S.txt,1858.5
Ta13_F.txt,2005.75
Ta52_F.txt,3955.0
LA12_F.txt,1349.0
LA40_F.txt,1756.25
Ta06_F.txt,1883.0
Ta54_F.txt,3885.25
Ta31_F.txt,2721.5
LP01.txt,314.5
LA27_S.txt,1762.75
Ta35_F.txt,2789.5
Ta44_F.txt,3234.0
S6.1.txt,104.25
ABZ8_F.txt,1047.25
Ta70_F.txt,4286.5
LA01_G.txt,940.5
Ta24_F.txt,2338.0
LA40_S.txt,1752.25
Ta51_F.txt,3858.25
LA19_S.txt,1161.75
Ta02_F.txt,1776.0
Ta62_F.txt,4808.0
Ta67_F.txt,4128.25
Ta01_F.txt,1817.25
ABZ6_G.txt,1470.0
Ta56_F.txt,4235.75
Ta40_F.txt,2540.0
S6.4.txt,46.5
Ta29_F.txt,2748.0
LA27_F.txt,1768.0
LA20_Z.txt,1268.75
LA39_S.txt,2025.25
LA14_F.txt,1398.75
Ta68_F.txt,4188.0
Ta58_F.txt,4325.0
LA24_S.txt,1387.5
Ta25_F.txt,2391.5
LA21_Z.txt,1450.75
Ta63_F.txt,3920.75
LA06_L.txt,1287.0
Ta42_F.txt,3427.0
Ta26_F.txt,2428.0
Ta64_F.txt,3881.25
Ta79_F.txt,7256.0
Ta12_F.txt,2274.0
Ta34_F.txt,2950.25
Ta60_F.txt,3838.25
Ta22_F.txt,2506.75
FT06_T.txt,64.5
Ta27_F.txt,2821.0
LA38_S.txt,1862.75
S6.3.txt,92.25
Ta80_F.txt,6522.0
Ta65_F.txt,4062.0
Ta73_F.txt,7427.25
LA21_S.txt,1664.75
Ta14_F.txt,1984.0
Ta17_F.txt,2176.0
LA36_S.txt,1941.25
ORB04_Z.txt,1478.0
Ta53_F.txt,4038.25
LA25_F.txt,1430.0
Ta76_F.txt,6809.25
LA01_L.txt,921.0
Ta57_F.txt,4223.75
Ta37_F.txt,2959.75
LA12_G.txt,1346.25
Ta69_F.txt,4178.0
Ta47_F.txt,2884.25
Ta49_F.txt,2897.25
Ta28_F.txt,2623.5
LA25_S.txt,1619.75
Ta18_F.txt,2108.0
Ta72_F.txt,6632.75
LA21_F.txt,1607.0
LA09_G.txt,1333.0
Ta11_F.txt,2060.0
Ta75_F.txt,6990.5
Ta43_F.txt,2905.5
Ta20_F.txt,2088.0
ORB02_Z.txt,1295.5
ABZ7_F.txt,913.0
LA24_F.txt,1407.0
Ta21_F.txt,2599.0
Ta03_F.txt,1958.0
LA13_G.txt,1342.5
Ta05_F.txt,1973.0
FT10_F.txt,1498.0
Ta46_F.txt,3182.5
ORB01_Z.txt,1460.25
Ta15_F.txt,2355.0
Ta41_F.txt,3268.0
S6.2.txt,93.5
FT10_S.txt,1442.25
LA03_G.txt,862.0
Ta77_F.txt,7013.0
LA14_G.txt,1412.0
ORB05_Z.txt,1284.75
Ta23_F.txt,2581.0
Ta07_F.txt,1989.0
Ta19_F.txt,2303.0
ABZ5_G.txt,1766.25
S10.2.txt,177.75
S10.1.txt,214.25
ABZ9_F.txt,1051.5
FT06_G.txt,83.75
FT20_F.txt,1606.0
Ta38_F.txt,2990.25
Ta33_F.txt,2665.0
Ta09_F.txt,1870.0
Ta04_F.txt,1760.0
LA13_F.txt,1308.0
LA29_F.txt,1765.25
ABZ5_Z.txt,1610.25
ORB03_Z.txt,1465.0
LA37_S.txt,2021.75
Ta55_F.txt,3869.25
Ta08_F.txt,1763.0
Ta39_F.txt,2712.0
Ta48_F.txt,3212.5
Ta78_F.txt,6856.0
FT20_T.txt,1566.75
Lei01.txt,280.75
