Instance,Makespan,Time
0,4192.75,31.454527854919434
1,4081.0,30.25786304473877
2,3991.5,27.26269507408142
3,4308.5,29.517575979232788
4,4500.25,30.59101414680481
5,4401.25,30.07655382156372
6,3908.5,28.016183614730835
7,4342.25,29.64879274368286
8,4233.0,32.414368867874146
9,4480.0,32.007394552230835
10,4431.0,30.738905429840088
11,4137.75,27.204586505889893
12,4086.75,28.859981775283813
13,4186.5,26.773395776748657
14,4489.5,28.153485774993896
15,4396.75,29.278244495391846
16,4324.5,31.36772060394287
17,4346.75,32.37576413154602
18,4235.0,30.401602268218994
19,4221.25,25.750335693359375
20,4073.75,24.131277799606323
21,4185.5,24.547505378723145
22,3921.75,24.087676286697388
23,4011.25,25.082036018371582
24,4053.0,24.97859764099121
25,4447.75,24.031607389450073
26,4308.25,24.87934637069702
27,4184.75,25.51287293434143
28,3850.5,26.263705253601074
29,4142.75,25.207842588424683
30,3972.75,23.568346977233887
31,4210.5,24.699040412902832
32,4337.25,24.308263301849365
33,4121.25,26.563207626342773
34,4443.5,26.2197482585907
35,4050.5,21.183327674865723
36,4088.0,26.759090662002563
37,4293.5,24.755089044570923
38,4056.25,25.979145288467407
39,4163.25,27.31158757209778
40,4060.75,27.13766360282898
41,4179.25,28.39691948890686
42,4480.0,28.108062028884888
43,4245.25,27.52540683746338
44,4265.0,25.535907745361328
45,4205.0,25.956052780151367
46,4480.75,24.660930633544922
47,3976.75,25.039212942123413
48,4423.25,25.09492015838623
49,4061.25,25.299002408981323
