Instance,Makespan,Time
0,4388.75,15.038540124893188
1,4254.0,14.220612287521362
2,4001.0,14.141302347183228
3,4365.25,14.168481826782227
4,4237.75,14.03927755355835
5,4220.5,14.061304807662964
6,4076.5,14.123496055603027
7,4747.25,14.15024733543396
8,4259.25,14.040356874465942
9,4038.75,14.069493532180786
10,4124.75,13.116478443145752
11,4061.0,12.651858806610107
12,4295.5,13.23499870300293
13,4212.0,14.484212875366211
14,4283.75,14.399009943008423
15,4070.5,14.364508390426636
16,4190.75,14.529388189315796
17,4349.75,15.001965284347534
18,4155.25,15.339093446731567
19,4306.75,15.990803241729736
20,4363.5,17.415165662765503
21,4462.75,19.815938234329224
22,4037.25,22.033000469207764
23,4145.75,21.810235261917114
24,4247.5,21.589978218078613
25,4262.25,19.32149028778076
26,4312.5,17.380971431732178
27,4235.0,18.54078769683838
28,4026.0,19.066218614578247
29,4128.5,18.964941024780273
30,4133.0,19.900207996368408
31,4260.0,19.102949142456055
32,4463.75,18.23007082939148
33,4177.75,18.365351676940918
34,4528.5,19.31839108467102
35,4222.5,19.65564513206482
36,4162.75,21.649250268936157
37,4788.5,23.467411518096924
38,4134.0,23.187368392944336
39,4309.5,32.698527574539185
40,4497.75,40.703747272491455
41,4309.25,35.405961751937866
42,4603.0,37.281731605529785
43,4319.25,36.24680519104004
44,4151.75,32.60689043998718
45,4193.0,38.19679379463196
46,4320.75,39.17421317100525
47,4724.0,36.33009934425354
48,4276.25,36.356894969940186
49,4189.75,31.537797927856445
