8 2 3 4 	6 3 5 6 	5 2 4 5 	2 4 5 6 	1 1 2 3 	3 3 5 6 	9 2 3 5 	4 1 2 3 	7 3 4  5 	10 2 3 4
10 2 3 4 	7 2 3  5 	4 2 4 5 	6 1 2 3 	8 4 5 6 	3 2 4 6 	2 2  3 4 	1 1 3 4 	5 2 3 4 	9 3 4 5
6 2 4 5 	9 1 2 3 	10 2 3 5 	8 1 2 4 	1 3 5 6 	7 1 3 4 	4 1 3 5 	2 1 2 4 	5 2 4 5 	3 1 3 5
1 1 2 3 	5 3 4 5 	8 1 3  5 	9 2 4 6 	10 2 4 5 	6 1 2 4 	7 3 4 5 	2 1 3 5 	4 1 3 6 	3 1 3 4
2 2 3 4 	7 1 3 4 	3 1 3 4 	5 1 2 3 	8 1 3 5 	9 2 3 4 	10 3 4 5 	6 1 3 4 	1 3 4 5 	4 1 3 4
4 2 3 4 	2 2 3 4 	3 1 2 3 	5 2 4 5 	6 1 3 4 	8 1 3 4 	7 3 4 5 	9 1 2 3 	10 2 4 5 	1 1 3 4
3 2 3 4 	5 1 4 5 	4 1 3 5 	1 3 4 5 	9 2 3 4 	7 3 4 5 	2 1 2 3 	10 3 5 6 	8 3 5 6 	6 1 2 3
7 3 4 5 	1 1 2 3 	9 3 4 5 	6 2 4 5 	10 1 3 4 	2 2 3 4 	5 1 2 3 	3 2 4 5 	4 3 4 5 	8 2 3 5
9 3 4 5 	4 1 3 4 	10 1 3 5 	2 2 3 4 	3 3 5 6 	6 2 4 5 	8 1 3 4 	1 3 4 5 	5 1 2 3 	7 3 4 5
7 2 4 5 	5 1 2 3 	2 3 4 5 	4 2 3 4 	1 1 2 3 	8 3 4 5 	10 2 4 5 	6 3 4 5 	3 1 2 3 	9 1 2 4
